"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CALCA (000)",61513,12525,1775,26356,15841,1407,1444,959,1206
"Quechua (001)",43008,10339,1129,19753,9591,654,641,353,548
"Aymara (002)",101,31,2,43,16,2,4,1,2
"Ashaninca (003)",4,,,2,1,,,1,
"Otra lengua nativa (004)",117,34,,47,31,,3,,2
"Castellano (005)",18128,2068,641,6474,6177,749,787,598,634
"Idioma extranjero (006)",13,,,,2,1,,1,9
"Es sordomudo/a (007)",142,53,3,37,23,1,9,5,11
"Hombres (009)",30990,4448,906,13633,9233,799,741,575,655
"Quechua (010)",21243,3417,575,10203,5774,397,338,233,306
"Aymara (011)",63,18,,29,11,1,1,1,2
"Ashaninca (012)",2,,,1,1,,,,
"Otra lengua nativa (013)",97,20,,42,30,,3,,2
"Castellano (014)",9543,975,331,3351,3410,401,396,338,341
"Idioma extranjero (015)",5,,,,,,,1,4
"Es sordomudo/a (016)",37,18,,7,7,,3,2,
"Mujeres (018)",30523,8077,869,12723,6608,608,703,384,551
"Quechua (019)",21765,6922,554,9550,3817,257,303,120,242
"Aymara (020)",38,13,2,14,5,1,3,,
"Ashaninca (021)",2,,,1,,,,1,
"Otra lengua nativa (022)",20,14,,5,1,,,,
"Castellano (023)",8585,1093,310,3123,2767,348,391,260,293
"Idioma extranjero (024)",8,,,,2,1,,,5
"Es sordomudo/a (025)",105,35,3,30,16,1,6,3,11
,,,,,,,,,
"URBANA (027)",21997,2171,530,7511,7772,1011,1157,789,1056
"Quechua (028)",9791,1030,111,3551,3535,406,468,254,436
"Aymara (029)",21,3,,6,5,2,4,1,
"Ashaninca (030)",2,,,,1,,,1,
"Otra lengua nativa (031)",27,2,,3,18,,2,,2
"Castellano (032)",12093,1129,419,3946,4196,601,677,527,598
"Idioma extranjero (033)",13,,,,2,1,,1,9
"Es sordomudo/a (034)",50,7,,5,15,1,6,5,11
"Hombres (036)",10884,760,265,3486,4218,554,575,459,567
"Quechua (037)",4781,253,50,1593,1992,240,247,162,244
"Aymara (038)",9,1,,3,2,1,1,1,
"Ashaninca (039)",1,,,,1,,,,
"Otra lengua nativa (040)",23,,,2,17,,2,,2
"Castellano (041)",6057,502,215,1887,2205,313,325,293,317
"Idioma extranjero (042)",5,,,,,,,1,4
"Es sordomudo/a (043)",8,4,,1,1,,,2,
"Mujeres (045)",11113,1411,265,4025,3554,457,582,330,489
"Quechua (046)",5010,777,61,1958,1543,166,221,92,192
"Aymara (047)",12,2,,3,3,1,3,,
"Ashaninca (048)",1,,,,,,,1,
"Otra lengua nativa (049)",4,2,,1,1,,,,
"Castellano (050)",6036,627,204,2059,1991,288,352,234,281
"Idioma extranjero (051)",8,,,,2,1,,,5
"Es sordomudo/a (052)",42,3,,4,14,1,6,3,11
,,,,,,,,,
"RURAL (054)",39516,10354,1245,18845,8069,396,287,170,150
"Quechua (055)",33217,9309,1018,16202,6056,248,173,99,112
"Aymara (056)",80,28,2,37,11,,,,2
"Ashaninca (057)",2,,,2,,,,,
"Otra lengua nativa (058)",90,32,,44,13,,1,,
"Castellano (059)",6035,939,222,2528,1981,148,110,71,36
"Es sordomudo/a (061)",92,46,3,32,8,,3,,
"Hombres (063)",20106,3688,641,10147,5015,245,166,116,88
"Quechua (064)",16462,3164,525,8610,3782,157,91,71,62
"Aymara (065)",54,17,,26,9,,,,2
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",74,20,,40,13,,1,,
"Castellano (068)",3486,473,116,1464,1205,88,71,45,24
"Es sordomudo/a (070)",29,14,,6,6,,3,,
"Mujeres (072)",19410,6666,604,8698,3054,151,121,54,62
"Quechua (073)",16755,6145,493,7592,2274,91,82,28,50
"Aymara (074)",26,11,2,11,2,,,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",16,12,,4,,,,,
"Castellano (077)",2549,466,106,1064,776,60,39,26,12
"Es sordomudo/a (079)",63,32,3,26,2,,,,
