"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ILO (000)",26126,15237,3048,3525,4316
"Hombres (001)",16445,8528,2272,2522,3123
"Mujeres (002)",9681,6709,776,1003,1193
"De 06 a 14 años (003)",155,141,10,4,
"Hombres (004)",87,76,7,4,
"Mujeres (005)",68,65,3,,
"De 15 a 29 años (006)",7411,4519,1112,963,817
"Hombres (007)",4504,2558,775,630,541
"Mujeres (008)",2907,1961,337,333,276
"De 30 a 44 años (009)",10552,5949,1220,1606,1777
"Hombres (010)",6472,3255,912,1099,1206
"Mujeres (011)",4080,2694,308,507,571
"De 45 a 64 años (012)",7168,3975,637,908,1648
"Hombres (013)",4802,2225,521,750,1306
"Mujeres (014)",2366,1750,116,158,342
"De 65 y más años (015)",840,653,69,44,74
"Hombres (016)",580,414,57,39,70
"Mujeres (017)",260,239,12,5,4
,,,,,
"URBANA (018)",25791,15101,3037,3459,4194
"Hombres (019)",16173,8433,2263,2461,3016
"Mujeres (020)",9618,6668,774,998,1178
"De 06 a 14 años (021)",154,140,10,4,
"Hombres (022)",86,75,7,4,
"Mujeres (023)",68,65,3,,
"De 15 a 29 años (024)",7321,4497,1107,934,783
"Hombres (025)",4429,2540,771,603,515
"Mujeres (026)",2892,1957,336,331,268
"De 30 a 44 años (027)",10434,5916,1217,1583,1718
"Hombres (028)",6364,3228,909,1077,1150
"Mujeres (029)",4070,2688,308,506,568
"De 45 a 64 años (030)",7068,3920,635,894,1619
"Hombres (031)",4728,2189,520,738,1281
"Mujeres (032)",2340,1731,115,156,338
"De 65 y más años (033)",814,628,68,44,74
"Hombres (034)",566,401,56,39,70
"Mujeres (035)",248,227,12,5,4
,,,,,
"RURAL (036)",335,136,11,66,122
"Hombres (037)",272,95,9,61,107
"Mujeres (038)",63,41,2,5,15
"De 06 a 14 años (039)",1,1,,,
"Hombres (040)",1,1,,,
"De 15 a 29 años (042)",90,22,5,29,34
"Hombres (043)",75,18,4,27,26
"Mujeres (044)",15,4,1,2,8
"De 30 a 44 años (045)",118,33,3,23,59
"Hombres (046)",108,27,3,22,56
"Mujeres (047)",10,6,,1,3
"De 45 a 64 años (048)",100,55,2,14,29
"Hombres (049)",74,36,1,12,25
"Mujeres (050)",26,19,1,2,4
"De 65 y más años (051)",26,25,1,,
"Hombres (052)",14,13,1,,
"Mujeres (053)",12,12,,,
