"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MORROPON (000)",159347,2977,48734,38514,29526,25951,13645
"Casa independiente (001)",155615,2887,47516,37584,28846,25443,13339
"Departamento en edificio (002)",94,3,21,27,22,18,3
"Vivienda en quinta (003)",97,1,31,19,27,16,3
"Vivienda en casa de vecindad (004)",175,4,49,37,46,22,17
"Choza o cabaña (005)",3260,79,1089,814,560,441,277
"Vivienda improvisada (006)",64,3,18,20,12,5,6
"Local no destinado para hab.humana (007)",31,,4,13,8,6,
"Otro tipo (008)",11,,6,,5,,
,,,,,,,
"URBANA (009)",91452,1634,26189,22787,17799,15297,7746
"Casa independiente (010)",90986,1623,26062,22672,17681,15231,7717
"Departamento en edificio (011)",94,3,21,27,22,18,3
"Vivienda en quinta (012)",97,1,31,19,27,16,3
"Vivienda en casa de vecindad (013)",175,4,49,37,46,22,17
"Vivienda improvisada (015)",64,3,18,20,12,5,6
"Local no destinado para hab.humana (016)",29,,4,12,8,5,
"Otro tipo (017)",7,,4,,3,,
,,,,,,,
"RURAL (018)",67895,1343,22545,15727,11727,10654,5899
"Casa independiente (019)",64629,1264,21454,14912,11165,10212,5622
"Choza o cabaña (023)",3260,79,1089,814,560,441,277
"Local no destinado para hab.humana (025)",2,,,1,,1,
"Otro tipo (026)",4,,2,,2,,
