"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHOTA (000)",73,63,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",17,16,1
"Casa pensión (003)",6,4,2
"Hospital, clinica (004)",8,6,2
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",3,2,1
"Otro (008)",32,29,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,5,1
