"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA MAR (000)",1020,585,435
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",49,49,
"Hospital, clinica (004)",36,33,3
"Aldea infantil, orfelinato, etc (007)",64,64,
"Otro (008)",308,77,231
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",563,362,201
