"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ASCOPE (000)",104022,19716,29029,24073,20889,10315
"Sin nivel (001)",6310,397,547,1011,1769,2586
"Educación inicial (002)",1628,1478,112,38,,
"Primaria (003)",33654,13655,3810,4300,6557,5332
"Secundaria (004)",37806,4186,15207,9884,7162,1367
"Superior no univ. incompleta (005)",6005,,3162,1745,903,195
"Superior no univ. completa (006)",9316,,2755,3874,2297,390
"Superior univ. incompleta (007)",3596,,2260,760,486,90
"Superior univ. completa (008)",5707,,1176,2461,1715,355
"PEA (010)",40868,382,12664,14910,11392,1520
"Sin nivel (011)",1475,20,187,443,546,279
"Educación inicial (012)",65,8,46,11,,
"Primaria (013)",8473,217,2084,2312,3044,816
"Secundaria (014)",16743,137,5993,6119,4253,241
"Superior no univ. incompleta (015)",2912,,1195,1102,572,43
"Superior no univ. completa (016)",5797,,1794,2540,1407,56
"Superior univ. incompleta (017)",1500,,604,542,338,16
"Superior univ. completa (018)",3903,,761,1841,1232,69
"Ocupada (020)",37960,328,11205,14013,10956,1458
"Sin nivel (021)",1390,15,168,410,525,272
"Educación inicial (022)",57,7,41,9,,
"Primaria (023)",7966,189,1898,2169,2926,784
"Secundaria (024)",15463,117,5279,5738,4101,228
"Superior no univ. incompleta (025)",2692,,1063,1045,544,40
"Superior no univ. completa (026)",5377,,1565,2398,1362,52
"Superior univ. incompleta (027)",1371,,526,505,324,16
"Superior univ. completa (028)",3644,,665,1739,1174,66
