"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BARRANCA (000)",990,965,25
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",300,300,
"Casa pensión (003)",53,53,
"Hospital, clinica (004)",89,89,
"Cárcel, centro de readaptación social (005)",22,,22
"Otro (008)",299,296,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",227,227,
