"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMAS (000)",73351,22675,5609,2035,43179
"Quechua (001)",3655,1219,86,61,2291
"Aymara (002)",24,9,3,8,11
"Asháninka (003)",10,6,1,5,3
"Otra lengua nativa (004)",153,56,1,4,96
"Castellano (005)",69368,21340,5515,1955,40686
"Idioma Extranjero (006)",5,1,,1,4
"Es Sordomudo/a (007)",136,44,3,1,88
"Hombres (009)",38564,11104,2784,1141,23613
"Quechua (010)",1754,588,39,34,1095
"Aymara (011)",11,4,1,4,5
"Asháninka (012)",5,2,,3,2
"Otra lengua nativa (013)",79,24,1,2,54
"Castellano (014)",36649,10463,2743,1097,22415
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",64,23,,1,40
"Mujeres (018)",34787,11571,2825,894,19566
"Quechua (019)",1901,631,47,27,1196
"Aymara (020)",13,5,2,4,6
"Asháninka (021)",5,4,1,2,1
"Otra lengua nativa (022)",74,32,,2,42
"Castellano (023)",32719,10877,2772,858,18271
"Idioma Extranjero (024)",3,1,,1,2
"Es Sordomudo/a (025)",72,21,3,,48
,,,,,
"URBANA (027)",35509,11826,4343,1446,18007
"Quechua (028)",829,279,59,20,471
"Aymara (029)",18,6,3,6,8
"Asháninka (030)",5,2,,2,2
"Otra lengua nativa (031)",2,,,,2
"Castellano (032)",34598,11518,4278,1416,17492
"Idioma Extranjero (033)",5,1,,1,4
"Es Sordomudo/a (034)",52,20,3,1,28
"Hombres (036)",18183,5701,2124,822,9595
"Quechua (037)",384,130,26,11,217
"Aymara (038)",7,1,1,2,4
"Asháninka (039)",3,1,,2,1
"Otra lengua nativa (040)",2,,,,2
"Castellano (041)",17761,5559,2097,806,9356
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",24,10,,1,13
"Mujeres (045)",17326,6125,2219,624,8412
"Quechua (046)",445,149,33,9,254
"Aymara (047)",11,5,2,4,4
"Asháninka (048)",2,1,,,1
"Castellano (050)",16837,5959,2181,610,8136
"Idioma Extranjero (051)",3,1,,1,2
"Es Sordomudo/a (052)",28,10,3,,15
,,,,,
"RURAL (054)",37842,10849,1266,589,25172
"Quechua (055)",2826,940,27,41,1820
"Aymara (056)",6,3,,2,3
"Asháninka (057)",5,4,1,3,1
"Otra lengua nativa (058)",151,56,1,4,94
"Castellano (059)",34770,9822,1237,539,23194
"Es Sordomudo/a (061)",84,24,,,60
"Hombres (063)",20381,5403,660,319,14018
"Quechua (064)",1370,458,13,23,878
"Aymara (065)",4,3,,2,1
"Asháninka (066)",2,1,,1,1
"Otra lengua nativa (067)",77,24,1,2,52
"Castellano (068)",18888,4904,646,291,13059
"Es Sordomudo/a (070)",40,13,,,27
"Mujeres (072)",17461,5446,606,270,11154
"Quechua (073)",1456,482,14,18,942
"Aymara (074)",2,,,,2
"Asháninka (075)",3,3,1,2,
"Otra lengua nativa (076)",74,32,,2,42
"Castellano (077)",15882,4918,591,248,10135
"Es Sordomudo/a (079)",44,11,,,33
