"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",12700,339,6369,3310,926,288,138,33,6,,1291
"Catolica (001)",8728,202,4251,2335,693,225,103,24,5,,890
"Cristiana / Evangelica (002)",2612,86,1378,652,161,39,26,5,1,,264
"Otra (003)",671,24,331,180,52,13,3,1,,,67
"Ninguna (004)",689,27,409,143,20,11,6,3,,,70
,,,,,,,,,,,
"URBANA (006)",8380,175,3806,2341,748,237,115,28,4,,926
"Catolica (007)",6001,108,2653,1694,577,187,88,20,4,,670
"Cristiana / Evangelica (008)",1564,42,756,421,119,29,20,5,,,172
"Otra (009)",414,12,177,126,39,13,2,,,,45
"Ninguna (010)",401,13,220,100,13,8,5,3,,,39
,,,,,,,,,,,
"RURAL (012)",4320,164,2563,969,178,51,23,5,2,,365
"Catolica (013)",2727,94,1598,641,116,38,15,4,1,,220
"Cristiana / Evangelica (014)",1048,44,622,231,42,10,6,,1,,92
"Otra (015)",257,12,154,54,13,,1,1,,,22
"Ninguna (016)",288,14,189,43,7,3,1,,,,31
