"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LEONCIO PRADO (000)",44205,36952,2788,1865,2600
"Empleado (001)",7900,3094,1170,1342,2294
"Obrero (002)",7698,6202,748,459,289
"Trabajador independiente (003)",21689,21077,612,,
"Empleador o patrono (004)",1341,1205,98,27,11
"Trabajador familiar no remunerado (005)",4481,4278,160,37,6
"Trabajador del hogar (006)",1096,1096,,,
"De 06 a 14 años (008)",1141,1027,84,30,
"Empleado (009)",85,74,11,,
"Obrero (010)",266,216,32,18,
"Trabajador independiente (011)",95,94,1,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",627,575,40,12,
"Trabajador del hogar (014)",66,66,,,
"De 15 a 29 años (016)",15369,12947,1151,618,653
"Empleado (017)",2987,1532,492,410,553
"Obrero (018)",3533,2882,365,194,92
"Trabajador independiente (019)",5686,5481,205,,
"Empleador o patrono (020)",280,250,19,7,4
"Trabajador familiar no remunerado (021)",2310,2229,70,7,4
"Trabajador del hogar (022)",573,573,,,
"De 30 a 44 años (024)",15333,12371,981,787,1194
"Empleado (025)",3115,978,463,604,1070
"Obrero (026)",2302,1803,217,165,117
"Trabajador independiente (027)",8200,7968,232,,
"Empleador o patrono (028)",522,470,38,8,6
"Trabajador familiar no remunerado (029)",929,887,31,10,1
"Trabajador del hogar (030)",265,265,,,
"De 45 a 64 años (032)",10340,8680,520,415,725
"Empleado (033)",1620,465,189,320,646
"Obrero (034)",1362,1083,125,77,77
"Trabajador independiente (035)",6291,6140,151,,
"Empleador o patrono (036)",420,371,36,12,1
"Trabajador familiar no remunerado (037)",482,456,19,6,1
"Trabajador del hogar (038)",165,165,,,
"De 65 y más años (040)",2022,1927,52,15,28
"Empleado (041)",93,45,15,8,25
"Obrero (042)",235,218,9,5,3
"Trabajador independiente (043)",1417,1394,23,,
"Empleador o patrono (044)",117,112,5,,
"Trabajador familiar no remunerado (045)",133,131,,2,
"Trabajador del hogar (046)",27,27,,,
,,,,,
"URBANA (048)",26549,20003,2328,1773,2445
"Empleado (049)",7458,2865,1114,1319,2160
"Obrero (050)",3846,2622,556,399,269
"Trabajador independiente (051)",12000,11518,482,,
"Empleador o patrono (052)",678,570,72,25,11
