"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONCEPCION (000)",18961,329,5698,6461,4910,1563
"Agric., ganadería, caza y silvicultura (001)",10310,247,2834,3178,2846,1205
"Pesca (002)",23,,8,11,4,
"Explotación de minas y canteras (003)",499,1,214,227,56,1
"Industrias manufactureras (004)",817,11,321,265,174,46
"Suministro de electricidad, gas y agua (005)",16,,3,6,7,
"Construcción (006)",726,1,243,286,170,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2112,28,626,746,581,131
"Venta, mant.y rep. veh.autom.y motoc. (008)",281,1,109,106,57,8
"Comercio al por mayor (009)",85,2,26,33,22,2
"Comercio al por menor (010)",1746,25,491,607,502,121
"Hoteles y restaurantes (011)",515,11,159,173,144,28
"Trans., almac. y comunicaciones (012)",938,6,376,362,176,18
"Intermediación financiera (013)",25,,15,9,1,
"Activid.inmobil., empres. y alquileres (014)",470,1,180,192,87,10
"Admin.pub. y defensa; p. segur.soc.afil (015)",374,,91,172,106,5
"Enseñanza (016)",832,,169,396,258,9
"Servicios sociales y de salud (017)",236,,68,106,60,2
"Otras activ. serv.comun.soc y personales (018)",316,7,122,109,59,19
"Hogares privados con servicio doméstico (019)",263,14,116,68,53,12
"Actividad economica no especificada (021)",489,2,153,155,128,51
"Hombres (022)",12466,201,3857,4172,3163,1073
"Agric., ganadería, caza y silvicultura (023)",7323,156,2112,2207,1972,876
"Pesca (024)",15,,4,8,3,
"Explotación de minas y canteras (025)",475,1,194,223,56,1
"Industrias manufactureras (026)",545,9,207,168,126,35
"Suministro de electricidad, gas y agua (027)",13,,2,5,6,
"Construcción (028)",704,1,234,275,168,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",949,17,315,325,236,56
"Venta, mant.y rep. veh.autom.y motoc. (030)",257,1,99,95,54,8
"Comercio al por mayor (031)",45,2,12,17,13,1
"Comercio al por menor (032)",647,14,204,213,169,47
"Hoteles y restaurantes (033)",149,6,57,45,35,6
"Trans., almac. y comunicaciones (034)",867,4,344,337,164,18
"Intermediación financiera (035)",13,,9,4,,
"Activid.inmobil., empres. y alquileres (036)",318,1,112,128,71,6
"Admin.pub. y defensa; p. segur.soc.afil (037)",265,,47,131,84,3
"Enseñanza (038)",373,,54,164,146,9
"Servicios sociales y de salud (039)",87,,27,37,21,2
"Otras activ. serv.comun.soc y personales (040)",163,3,65,52,34,9
