"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SIHUAS",,,,,,,,,
"Viviendas particulares (001)",275,154,27,14,44,4,1,,31
"Ocupantes presentes (002)",1269,701,141,72,190,19,3,,143
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",267,152,24,14,41,4,1,,31
"Ocupantes presentes (005)",1241,698,132,72,174,19,3,,143
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",8,2,3,,3,,,,
"Ocupantes presentes (014)",28,3,9,,16,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",219,120,23,11,42,4,1,,18
"Ocupantes presentes (029)",992,524,115,60,182,19,3,,89
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",211,118,20,11,39,4,1,,18
"Ocupantes presentes (032)",964,521,106,60,166,19,3,,89
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",8,2,3,,3,,,,
"Ocupantes presentes (041)",28,3,9,,16,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",56,34,4,3,2,,,,13
"Ocupantes presentes (056)",277,177,26,12,8,,,,54
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",56,34,4,3,2,,,,13
"Ocupantes presentes (059)",277,177,26,12,8,,,,54
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
