"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YUNGUYO (000)",42545,8480,2125,694,31278
"Hombres (001)",20938,4088,1104,438,15320
"Mujeres (002)",21607,4392,1021,256,15958
"PEA (003)",20174,1078,1066,373,17670
"Hombres (004)",11649,533,621,286,10218
"Mujeres (005)",8525,545,445,87,7452
"Ocupada (006)",19018,1040,1039,353,16599
"Hombres (007)",10843,506,605,271,9470
"Mujeres (008)",8175,534,434,82,7129
"Desocupada (009)",1156,38,27,20,1071
"Hombres (010)",806,27,16,15,748
"Mujeres (011)",350,11,11,5,323
"No PEA (012)",22371,7402,1059,321,13608
"Hombres (013)",9289,3555,483,152,5102
"Mujeres (014)",13082,3847,576,169,8506
,,,,,
"URBANA (018)",15538,2614,1593,396,10948
"Hombres (019)",7622,1273,792,225,5337
"Mujeres (020)",7916,1341,801,171,5611
"PEA (021)",7068,364,793,207,5711
"Hombres (022)",3945,184,427,141,3197
"Mujeres (023)",3123,180,366,66,2514
"Ocupada (024)",6626,347,770,192,5324
"Hombres (025)",3661,171,414,129,2951
"Mujeres (026)",2965,176,356,63,2373
"Desocupada (027)",442,17,23,15,387
"Hombres (028)",284,13,13,12,246
"Mujeres (029)",158,4,10,3,141
"No PEA (030)",8470,2250,800,189,5237
"Hombres (031)",3677,1089,365,84,2140
"Mujeres (032)",4793,1161,435,105,3097
,,,,,
"RURAL (036)",27007,5866,532,298,20330
"Hombres (037)",13316,2815,312,213,9983
"Mujeres (038)",13691,3051,220,85,10347
"PEA (039)",13106,714,273,166,11959
"Hombres (040)",7704,349,194,145,7021
"Mujeres (041)",5402,365,79,21,4938
"Ocupada (042)",12392,693,269,161,11275
"Hombres (043)",7182,335,191,142,6519
"Mujeres (044)",5210,358,78,19,4756
"Desocupada (045)",714,21,4,5,684
"Hombres (046)",522,14,3,3,502
"Mujeres (047)",192,7,1,2,182
"No PEA (048)",13901,5152,259,132,8371
"Hombres (049)",5612,2466,118,68,2962
"Mujeres (050)",8289,2686,141,64,5409
