"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia LUCANAS",,,,,,,,,
"Viviendas particulares (001)",9173,3104,1140,442,1122,62,75,32,3196
"Ocupantes presentes (002)",34437,12394,4285,1619,4159,240,320,139,11281
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",9021,3059,1100,435,1111,60,75,32,3149
"Ocupantes presentes (005)",33836,12205,4155,1596,4124,236,320,139,11061
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",6,2,1,,,,,,3
"Ocupantes presentes (008)",24,12,1,,,,,,11
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",45,19,17,,3,2,,,4
"Ocupantes presentes (011)",158,75,47,,10,4,,,22
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",48,18,22,2,4,,,,2
"Ocupantes presentes (014)",189,84,82,3,13,,,,7
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",41,2,,5,2,,,,32
"Ocupantes presentes (017)",194,3,,20,5,,,,166
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",3,3,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",11,3,,,2,,,,6
"Ocupantes presentes (023)",33,12,,,7,,,,14
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6931,2651,1016,317,787,45,61,27,2027
"Ocupantes presentes (029)",26696,10836,3832,1196,2969,185,255,127,7296
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",6825,2608,976,315,779,43,61,27,2016
"Ocupantes presentes (032)",26301,10650,3702,1193,2945,181,255,127,7248
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",6,2,1,,,,,,3
"Ocupantes presentes (035)",24,12,1,,,,,,11
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",45,19,17,,3,2,,,4
"Ocupantes presentes (038)",158,75,47,,10,4,,,22
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",48,18,22,2,4,,,,2
"Ocupantes presentes (041)",189,84,82,3,13,,,,7
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",3,3,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,3,,,1,,,,2
"Ocupantes presentes (050)",21,12,,,1,,,,8
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2242,453,124,125,335,17,14,5,1169
"Ocupantes presentes (056)",7741,1558,453,423,1190,55,65,12,3985
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2196,451,124,120,332,17,14,5,1133
"Ocupantes presentes (059)",7535,1555,453,403,1179,55,65,12,3813
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",41,2,,5,2,,,,32
"Ocupantes presentes (071)",194,3,,20,5,,,,166
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,,,1,,,,4
"Ocupantes presentes (077)",12,,,,6,,,,6
"Otro tipo",,,,,,,,,
