"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",159668,41448,50104,35097,23954,9065
"Sin nivel (001)",13489,1054,1419,2515,4498,4003
"Educación inicial (002)",2435,2291,84,60,,
"Primaria (003)",79293,31338,15297,15464,12812,4382
"Secundaria (004)",45605,6765,24503,10143,3773,421
"Superior no univ. incompleta (005)",4465,,2917,1152,353,43
"Superior no univ. completa (006)",5633,,2134,2447,956,96
"Superior univ. incompleta (007)",3141,,2185,689,248,19
"Superior univ. completa (008)",5607,,1565,2627,1314,101
"PEA (010)",64185,1617,22945,21855,14179,3589
"Sin nivel (011)",4030,56,519,912,1481,1062
"Educación inicial (012)",75,13,31,31,,
"Primaria (013)",27519,1168,7940,8470,7706,2235
"Secundaria (014)",20173,380,10093,6853,2654,193
"Superior no univ. incompleta (015)",2182,,1072,804,288,18
"Superior no univ. completa (016)",4219,,1464,1982,742,31
"Superior univ. incompleta (017)",1405,,676,521,200,8
"Superior univ. completa (018)",4582,,1150,2282,1108,42
"Ocupada (020)",62184,1538,21921,21322,13881,3522
"Sin nivel (021)",3921,52,491,889,1448,1041
"Educación inicial (022)",70,12,30,28,,
"Primaria (023)",26755,1101,7660,8262,7540,2192
"Secundaria (024)",19423,373,9610,6663,2585,192
"Superior no univ. incompleta (025)",2115,,1028,788,283,16
"Superior no univ. completa (026)",4068,,1364,1943,730,31
"Superior univ. incompleta (027)",1364,,651,509,196,8
"Superior univ. completa (028)",4468,,1087,2240,1099,42
