"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ASUNCION (000)",92,11,81
"Sin nivel (001)",17,1,16
"Primaria (003)",28,,28
"Secundaria (004)",32,8,24
"Superior no univ. incompleta (005)",1,,1
"Superior no univ. completa (006)",5,,5
"Superior univ. incompleta (007)",4,2,2
"Superior univ. completa (008)",5,,5
"Hombres (010)",77,8,69
"Sin nivel (011)",14,,14
"Primaria (013)",24,,24
"Secundaria (014)",28,7,21
"Superior no univ. incompleta (015)",1,,1
"Superior no univ. completa (016)",4,,4
"Superior univ. incompleta (017)",3,1,2
"Superior univ. completa (018)",3,,3
"Mujeres (020)",15,3,12
"Sin nivel (021)",3,1,2
"Primaria (023)",4,,4
"Secundaria (024)",4,1,3
"Superior no univ. completa (026)",1,,1
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",2,,2
,,,
"AREA URBANA (030)",26,1,25
"Sin nivel (031)",1,,1
"Primaria (033)",7,,7
"Secundaria (034)",8,,8
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",3,,3
"Superior univ. incompleta (037)",3,1,2
"Superior univ. completa (038)",3,,3
"Hombres (040)",20,1,19
"Sin nivel (041)",1,,1
"Primaria (043)",5,,5
"Secundaria (044)",7,,7
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",2,,2
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",1,,1
"Mujeres (050)",6,,6
"Primaria (053)",2,,2
"Secundaria (054)",1,,1
"Superior no univ. completa (056)",1,,1
"Superior univ. completa (058)",2,,2
,,,
"AREA RURAL (060)",66,10,56
"Sin nivel (061)",16,1,15
"Primaria (063)",21,,21
"Secundaria (064)",24,8,16
"Superior no univ. completa (066)",2,,2
"Superior univ. incompleta (067)",1,1,
"Superior univ. completa (068)",2,,2
"Hombres (070)",57,7,50
"Sin nivel (071)",13,,13
"Primaria (073)",19,,19
"Secundaria (074)",21,7,14
"Superior no univ. completa (076)",2,,2
"Superior univ. completa (078)",2,,2
"Mujeres (080)",9,3,6
"Sin nivel (081)",3,1,2
"Primaria (083)",2,,2
"Secundaria (084)",3,1,2
"Superior univ. incompleta (087)",1,1,
