"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN IGNACIO (000)",121183,56444,5392,1442,58011
"Quechua (001)",85,33,2,5,48
"Aymara (002)",27,15,,4,12
"Asháninka (003)",8,5,1,1,2
"Otra lengua nativa (004)",935,464,12,2,458
"Castellano (005)",119837,55830,5371,1420,57313
"Idioma Extranjero (006)",12,,,9,3
"Es Sordomudo/a (007)",279,97,6,1,175
"Hombres (009)",64598,27275,2697,886,33810
"Quechua (010)",52,20,1,4,30
"Aymara (011)",19,10,,3,9
"Asháninka (012)",2,,,,2
"Otra lengua nativa (013)",483,221,7,1,254
"Castellano (014)",63890,26982,2685,874,33413
"Idioma Extranjero (015)",4,,,4,
"Es Sordomudo/a (016)",148,42,4,,102
"Mujeres (018)",56585,29169,2695,556,24201
"Quechua (019)",33,13,1,1,18
"Aymara (020)",8,5,,1,3
"Asháninka (021)",6,5,1,1,
"Otra lengua nativa (022)",452,243,5,1,204
"Castellano (023)",55947,28848,2686,546,23900
"Idioma Extranjero (024)",8,,,5,3
"Es Sordomudo/a (025)",131,55,2,1,73
,,,,,
"URBANA (027)",19362,6260,2869,829,9434
"Quechua (028)",13,4,2,1,6
"Aymara (029)",3,1,,,2
"Otra lengua nativa (031)",9,,1,1,7
"Castellano (032)",19288,6242,2864,818,9394
"Idioma Extranjero (033)",12,,,9,3
"Es Sordomudo/a (034)",37,13,2,,22
"Hombres (036)",9893,2889,1433,557,5034
"Quechua (037)",10,4,1,1,4
"Aymara (038)",2,,,,2
"Otra lengua nativa (040)",7,,1,1,5
"Castellano (041)",9853,2880,1431,551,5011
"Idioma Extranjero (042)",4,,,4,
"Es Sordomudo/a (043)",17,5,,,12
"Mujeres (045)",9469,3371,1436,272,4400
"Quechua (046)",3,,1,,2
"Aymara (047)",1,1,,,
"Otra lengua nativa (049)",2,,,,2
"Castellano (050)",9435,3362,1433,267,4383
"Idioma Extranjero (051)",8,,,5,3
"Es Sordomudo/a (052)",20,8,2,,10
,,,,,
"RURAL (054)",101821,50184,2523,613,48577
"Quechua (055)",72,29,,4,42
"Aymara (056)",24,14,,4,10
"Asháninka (057)",8,5,1,1,2
"Otra lengua nativa (058)",926,464,11,1,451
"Castellano (059)",100549,49588,2507,602,47919
"Es Sordomudo/a (061)",242,84,4,1,153
"Hombres (063)",54705,24386,1264,329,28776
"Quechua (064)",42,16,,3,26
"Aymara (065)",17,10,,3,7
"Asháninka (066)",2,,,,2
"Otra lengua nativa (067)",476,221,6,,249
"Castellano (068)",54037,24102,1254,323,28402
"Es Sordomudo/a (070)",131,37,4,,90
"Mujeres (072)",47116,25798,1259,284,19801
"Quechua (073)",30,13,,1,16
"Aymara (074)",7,4,,1,3
"Asháninka (075)",6,5,1,1,
"Otra lengua nativa (076)",450,243,5,1,202
"Castellano (077)",46512,25486,1253,279,19517
"Es Sordomudo/a (079)",111,47,,1,63
