"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJAMARCA (000)",112644,1734,42413,40119,23630,4748
"Agric., ganadería, caza y silvicultura (001)",27666,722,9202,8073,6918,2751
"Pesca (002)",16,1,7,6,2,
"Explotación de minas y canteras (003)",4237,2,1379,2235,611,10
"Industrias manufactureras (004)",6964,117,2849,2351,1391,256
"Suministro de electricidad, gas y agua (005)",266,,90,102,71,3
"Construcción (006)",10157,82,4050,3844,2012,169
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14464,251,5310,5063,3242,598
"Venta, mant.y rep. veh.autom.y motoc. (008)",2380,36,1186,793,331,34
"Comercio al por mayor (009)",725,5,307,260,134,19
"Comercio al por menor (010)",11359,210,3817,4010,2777,545
"Hoteles y restaurantes (011)",3940,97,1893,1161,690,99
"Trans., almac. y comunicaciones (012)",7671,66,3641,2765,1113,86
"Intermediación financiera (013)",467,,225,192,50,
"Activid.inmobil., empres. y alquileres (014)",4347,9,1698,1869,719,52
"Admin.pub. y defensa; p. segur.soc afil (015)",3003,,767,1254,939,43
"Enseñanza (016)",7761,1,1413,4151,2122,74
"Servicios sociales y de salud (017)",2275,,619,969,659,28
"Otras activ. serv.comun.soc y personales (018)",3382,48,1318,1273,631,112
"Hogares privados con servicio doméstico (019)",3756,144,2303,858,390,61
"Organiz. y organos extraterritoriales (020)",6,,3,2,1,
"Actividad economica no especificada (021)",5818,23,2233,2119,1201,242
"Desocupado (022)",6448,171,3413,1832,868,164
"Hombres (023)",78969,1128,29008,27987,17094,3752
"Agric., ganadería, caza y silvicultura (024)",23768,483,7666,7022,6122,2475
"Pesca (025)",15,1,7,5,2,
"Explotación de minas y canteras (026)",3914,2,1212,2096,594,10
"Industrias manufactureras (027)",5607,99,2343,1873,1088,204
"Suministro de electricidad, gas y agua (028)",239,,81,91,64,3
"Construcción (029)",9841,79,3924,3702,1968,168
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",7553,175,2984,2551,1559,284
"Venta, mant.y rep. veh.autom.y motoc. (031)",2232,33,1103,750,315,31
"Comercio al por mayor (032)",430,4,171,160,84,11
"Comercio al por menor (033)",4891,138,1710,1641,1160,242
"Hoteles y restaurantes (034)",1489,48,823,389,197,32
"Trans., almac. y comunicaciones (035)",7069,65,3251,2601,1067,85
"Intermediación financiera (036)",234,,84,107,43,
