"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",120266,115029,34766,17623,16572,13052,16694,8461,7861,5237
"Católica (001)",80134,76479,22709,12361,11434,8891,11015,5301,4768,3655
"Cristiana/Evangélica (002)",28103,27079,8078,3498,3599,2959,4193,2375,2377,1024
"Otra (003)",6741,6423,2101,871,808,674,932,538,499,318
"Ninguna (004)",5288,5048,1878,893,731,528,554,247,217,240
,,,,,,,,,,
"URBANA (006)",105074,100446,30500,15773,14789,11528,14493,7076,6287,4628
"Católica (007)",72461,69117,20544,11400,10510,8142,9926,4634,3961,3344
"Cristiana/Evangélica (008)",22872,22038,6655,2874,2999,2442,3408,1860,1800,834
"Otra (009)",5911,5633,1858,780,716,590,819,456,414,278
"Ninguna (010)",3830,3658,1443,719,564,354,340,126,112,172
,,,,,,,,,,
"RURAL (012)",15192,14583,4266,1850,1783,1524,2201,1385,1574,609
"Católica (013)",7673,7362,2165,961,924,749,1089,667,807,311
"Cristiana/Evangélica (014)",5231,5041,1423,624,600,517,785,515,577,190
"Otra (015)",830,790,243,91,92,84,113,82,85,40
"Ninguna (016)",1458,1390,435,174,167,174,214,121,105,68
