"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",13677,270,7120,3708,2208,371
"Conviviente (001)",2748,4,1180,1056,452,56
"Separado(a) (002)",417,,127,163,112,15
"Casado(a) (003)",3407,,494,1425,1270,218
"Viudo(a) (004)",122,,3,19,54,46
"Divorciado(a) (005)",47,,8,17,18,4
"Soltero(a) (006)",6936,266,5308,1028,302,32
"Hombres (008)",9826,187,4705,2759,1838,337
"Conviviente (009)",2093,4,793,842,398,56
"Separado(a) (010)",166,,29,66,59,12
"Casado(a) (011)",2774,,326,1124,1118,206
"Viudo(a) (012)",76,,,10,33,33
"Divorciado(a) (013)",25,,3,8,13,1
"Soltero(a) (014)",4692,183,3554,709,217,29
"Mujeres (016)",3851,83,2415,949,370,34
"Conviviente (017)",655,,387,214,54,
"Separado(a) (018)",251,,98,97,53,3
"Casado(a) (019)",633,,168,301,152,12
"Viudo(a) (020)",46,,3,9,21,13
"Divorciado(a) (021)",22,,5,9,5,3
"Soltero(a) (022)",2244,83,1754,319,85,3
,,,,,,
"AREA URBANA (024)",12248,182,6348,3350,2042,326
"Conviviente (025)",2490,4,1074,944,419,49
"Separado(a) (026)",405,,125,156,109,15
"Casado(a) (027)",3036,,426,1255,1165,190
"Viudo(a) (028)",111,,3,19,48,41
"Divorciado(a) (029)",44,,7,17,16,4
"Soltero(a) (030)",6162,178,4713,959,285,27
"Hombres (032)",8587,113,4072,2425,1683,294
"Conviviente (033)",1859,4,704,735,367,49
"Separado(a) (034)",157,,27,61,57,12
"Casado(a) (035)",2412,,261,957,1016,178
"Viudo(a) (036)",67,,,10,28,29
"Divorciado(a) (037)",24,,3,8,12,1
"Soltero(a) (038)",4068,109,3077,654,203,25
"Mujeres (040)",3661,69,2276,925,359,32
"Conviviente (041)",631,,370,209,52,
"Separado(a) (042)",248,,98,95,52,3
"Casado(a) (043)",624,,165,298,149,12
"Viudo(a) (044)",44,,3,9,20,12
"Divorciado(a) (045)",20,,4,9,4,3
"Soltero(a) (046)",2094,69,1636,305,82,2
,,,,,,
"AREA RURAL (048)",1429,88,772,358,166,45
"Conviviente (049)",258,,106,112,33,7
"Separado(a) (050)",12,,2,7,3,
"Casado(a) (051)",371,,68,170,105,28
"Viudo(a) (052)",11,,,,6,5
"Divorciado(a) (053)",3,,1,,2,
"Soltero(a) (054)",774,88,595,69,17,5
"Hombres (056)",1239,74,633,334,155,43
"Conviviente (057)",234,,89,107,31,7
"Separado(a) (058)",9,,2,5,2,
"Casado(a) (059)",362,,65,167,102,28
"Viudo(a) (060)",9,,,,5,4
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",624,74,477,55,14,4
"Mujeres (064)",190,14,139,24,11,2
"Conviviente (065)",24,,17,5,2,
"Separado(a) (066)",3,,,2,1,
"Casado(a) (067)",9,,3,3,3,
"Viudo(a) (068)",2,,,,1,1
"Divorciado(a) (069)",2,,1,,1,
"Soltero(a) (070)",150,14,118,14,3,1
