"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SIHUAS (000)",26260,7570,7044,5091,4203,2352
"Hombres (001)",12853,3785,3610,2394,2021,1043
"Mujeres (002)",13407,3785,3434,2697,2182,1309
"PEA (003)",8720,134,2534,2929,2275,848
"Hombres (004)",6029,89,1716,1960,1644,620
"Mujeres (005)",2691,45,818,969,631,228
"Ocupada (006)",8288,127,2333,2813,2192,823
"Hombres (007)",5682,86,1561,1866,1571,598
"Mujeres (008)",2606,41,772,947,621,225
"Desocupada (009)",432,7,201,116,83,25
"Hombres (010)",347,3,155,94,73,22
"Mujeres (011)",85,4,46,22,10,3
"No PEA (012)",17540,7436,4510,2162,1928,1504
"Hombres (013)",6824,3696,1894,434,377,423
"Mujeres (014)",10716,3740,2616,1728,1551,1081
,,,,,,
"URBANA (018)",6986,1707,2011,1559,1130,579
"Hombres (019)",3479,876,1038,738,563,264
"Mujeres (020)",3507,831,973,821,567,315
"PEA (021)",2870,44,820,1119,703,184
"Hombres (022)",1777,32,507,647,464,127
"Mujeres (023)",1093,12,313,472,239,57
"Ocupada (024)",2688,42,734,1056,683,173
"Hombres (025)",1634,30,442,598,447,117
"Mujeres (026)",1054,12,292,458,236,56
"Desocupada (027)",182,2,86,63,20,11
"Hombres (028)",143,2,65,49,17,10
"Mujeres (029)",39,,21,14,3,1
"No PEA (030)",4116,1663,1191,440,427,395
"Hombres (031)",1702,844,531,91,99,137
"Mujeres (032)",2414,819,660,349,328,258
,,,,,,
"RURAL (036)",19274,5863,5033,3532,3073,1773
"Hombres (037)",9374,2909,2572,1656,1458,779
"Mujeres (038)",9900,2954,2461,1876,1615,994
"PEA (039)",5850,90,1714,1810,1572,664
"Hombres (040)",4252,57,1209,1313,1180,493
"Mujeres (041)",1598,33,505,497,392,171
"Ocupada (042)",5600,85,1599,1757,1509,650
"Hombres (043)",4048,56,1119,1268,1124,481
"Mujeres (044)",1552,29,480,489,385,169
"Desocupada (045)",250,5,115,53,63,14
"Hombres (046)",204,1,90,45,56,12
"Mujeres (047)",46,4,25,8,7,2
"No PEA (048)",13424,5773,3319,1722,1501,1109
"Hombres (049)",5122,2852,1363,343,278,286
"Mujeres (050)",8302,2921,1956,1379,1223,823
