"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MELGAR (000)",70392,10860,1936,28983,20623,2206,2455,1390,1939
"Quechua (001)",49655,8773,1078,22853,13527,1070,1118,496,740
"Aymara (002)",163,13,7,43,51,9,12,10,18
"Ashaninca (003)",4,,1,1,1,,,,1
"Otra lengua nativa (004)",13,,1,6,3,,1,,2
"Castellano (005)",20479,2030,846,6066,7038,1127,1324,882,1166
"Idioma extranjero (006)",13,,,,,,,1,12
"Es sordomudo/a (007)",65,44,3,14,3,,,1,
"Hombres (009)",34195,3683,951,13317,11436,1266,1400,880,1262
"Quechua (010)",23582,2645,536,10337,7738,698,733,347,548
"Aymara (011)",95,4,2,20,32,6,10,9,12
"Ashaninca (012)",3,,,1,1,,,,1
"Otra lengua nativa (013)",6,,1,2,2,,1,,
"Castellano (014)",10466,1011,410,2949,3660,562,656,523,695
"Idioma extranjero (015)",6,,,,,,,,6
"Es sordomudo/a (016)",37,23,2,8,3,,,1,
"Mujeres (018)",36197,7177,985,15666,9187,940,1055,510,677
"Quechua (019)",26073,6128,542,12516,5789,372,385,149,192
"Aymara (020)",68,9,5,23,19,3,2,1,6
"Ashaninca (021)",1,,1,,,,,,
"Otra lengua nativa (022)",7,,,4,1,,,,2
"Castellano (023)",10013,1019,436,3117,3378,565,668,359,471
"Idioma extranjero (024)",7,,,,,,,1,6
"Es sordomudo/a (025)",28,21,1,6,,,,,
,,,,,,,,,
"URBANA (027)",33572,4218,878,11397,10961,1596,1962,1053,1507
"Quechua (028)",17224,2675,228,6699,5405,616,798,289,514
"Aymara (029)",113,6,2,27,38,7,11,8,14
"Ashaninca (030)",3,,1,1,1,,,,
"Otra lengua nativa (031)",10,,1,3,3,,1,,2
"Castellano (032)",16203,1526,646,4663,5513,973,1152,755,975
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",17,11,,4,1,,,1,
"Hombres (036)",16089,1414,438,5091,5689,849,1036,647,925
"Quechua (037)",7990,658,125,2832,2911,389,503,205,367
"Aymara (038)",70,3,1,13,24,4,9,7,9
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",5,,1,1,2,,1,,
"Castellano (041)",8007,745,311,2241,2750,456,523,434,547
"Idioma extranjero (042)",2,,,,,,,,2
"Es sordomudo/a (043)",13,8,,3,1,,,1,
"Mujeres (045)",17483,2804,440,6306,5272,747,926,406,582
"Quechua (046)",9234,2017,103,3867,2494,227,295,84,147
"Aymara (047)",43,3,1,14,14,3,2,1,5
"Ashaninca (048)",1,,1,,,,,,
"Otra lengua nativa (049)",5,,,2,1,,,,2
"Castellano (050)",8196,781,335,2422,2763,517,629,321,428
"Es sordomudo/a (052)",4,3,,1,,,,,
,,,,,,,,,
"RURAL (054)",36820,6642,1058,17586,9662,610,493,337,432
"Quechua (055)",32431,6098,850,16154,8122,454,320,207,226
"Aymara (056)",50,7,5,16,13,2,1,2,4
"Ashaninca (057)",1,,,,,,,,1
"Otra lengua nativa (058)",3,,,3,,,,,
"Castellano (059)",4276,504,200,1403,1525,154,172,127,191
"Idioma extranjero (060)",11,,,,,,,1,10
"Es sordomudo/a (061)",48,33,3,10,2,,,,
"Hombres (063)",18106,2269,513,8226,5747,417,364,233,337
"Quechua (064)",15592,1987,411,7505,4827,309,230,142,181
"Aymara (065)",25,1,1,7,8,2,1,2,3
"Ashaninca (066)",1,,,,,,,,1
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",2459,266,99,708,910,106,133,89,148
"Idioma extranjero (069)",4,,,,,,,,4
"Es sordomudo/a (070)",24,15,2,5,2,,,,
"Mujeres (072)",18714,4373,545,9360,3915,193,129,104,95
"Quechua (073)",16839,4111,439,8649,3295,145,90,65,45
"Aymara (074)",25,6,4,9,5,,,,1
"Otra lengua nativa (076)",2,,,2,,,,,
"Castellano (077)",1817,238,101,695,615,48,39,38,43
"Idioma extranjero (078)",7,,,,,,,1,6
"Es sordomudo/a (079)",24,18,1,5,,,,,
