"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ANGARAES (000)",19003,18215,5752,1832,1828,1449,2598,2071,2685,788
"Católica (001)",14903,14264,4589,1467,1462,1106,1992,1591,2057,639
"Cristiana/Evangélica (002)",3733,3606,1042,333,332,316,556,443,584,127
"Otra (003)",90,85,32,9,8,9,11,5,11,5
"Ninguna (004)",277,260,89,23,26,18,39,32,33,17
,,,,,,,,,,
"URBANA (006)",5944,5644,1834,683,667,480,799,569,612,300
"Católica (007)",4860,4611,1522,572,569,387,615,465,481,249
"Cristiana/Evangélica (008)",940,902,258,97,85,81,167,95,119,38
"Otra (009)",41,37,21,3,2,4,3,3,1,4
"Ninguna (010)",103,94,33,11,11,8,14,6,11,9
,,,,,,,,,,
"RURAL (012)",13059,12571,3918,1149,1161,969,1799,1502,2073,488
"Católica (013)",10043,9653,3067,895,893,719,1377,1126,1576,390
"Cristiana/Evangélica (014)",2793,2704,784,236,247,235,389,348,465,89
"Otra (015)",49,48,11,6,6,5,8,2,10,1
"Ninguna (016)",174,166,56,12,15,10,25,26,22,8
