"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TUMBES (000)",2963,621,2342
"Sin nivel (001)",57,11,46
"Educación inicial (002)",5,3,2
"Primaria (003)",626,84,542
"Secundaria (004)",1371,316,1055
"Superior no univ. incompleta (005)",172,36,136
"Superior no univ. completa (006)",366,79,287
"Superior univ. incompleta (007)",133,39,94
"Superior univ. completa (008)",233,53,180
"De 14 a 29 años (010)",1472,482,990
"Sin nivel (011)",14,8,6
"Educación inicial (012)",2,1,1
"Primaria (013)",178,54,124
"Secundaria (014)",766,263,503
"Superior no univ. incompleta (015)",99,30,69
"Superior no univ. completa (016)",215,57,158
"Superior univ. incompleta (017)",85,31,54
"Superior univ. completa (018)",113,38,75
"De 30 a 44 años (020)",915,114,801
"Sin nivel (021)",15,2,13
"Educación inicial (022)",3,2,1
"Primaria (023)",198,21,177
"Secundaria (024)",433,48,385
"Superior no univ. incompleta (025)",56,6,50
"Superior no univ. completa (026)",107,16,91
"Superior univ. incompleta (027)",33,8,25
"Superior univ. completa (028)",70,11,59
"De 45 a 64 años (030)",490,25,465
"Sin nivel (031)",17,1,16
"Primaria (033)",191,9,182
"Secundaria (034)",167,5,162
"Superior no univ. incompleta (035)",16,,16
"Superior no univ. completa (036)",41,6,35
"Superior univ. incompleta (037)",13,,13
"Superior univ. completa (038)",45,4,41
"De 65 y más años (040)",86,,86
"Sin nivel (041)",11,,11
"Primaria (043)",59,,59
"Secundaria (044)",5,,5
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",3,,3
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",5,,5
,,,
"AREA URBANA (050)",2670,543,2127
"Sin nivel (051)",47,8,39
"Educación inicial (052)",4,2,2
"Primaria (053)",536,71,465
"Secundaria (054)",1212,272,940
"Superior no univ. incompleta (055)",166,34,132
"Superior no univ. completa (056)",347,67,280
"Superior univ. incompleta (057)",132,38,94
"Superior univ. completa (058)",226,51,175
"De 14 a 29 años (060)",1306,415,891
"Sin nivel (061)",11,6,5
"Educación inicial (062)",1,,1
"Primaria (063)",146,43,103
"Secundaria (064)",663,223,440
"Superior no univ. incompleta (065)",94,28,66
"Superior no univ. completa (066)",199,48,151
"Superior univ. incompleta (067)",84,30,54
"Superior univ. completa (068)",108,37,71
"De 30 a 44 años (070)",835,103,732
"Sin nivel (071)",12,1,11
"Educación inicial (072)",3,2,1
"Primaria (073)",174,19,155
"Secundaria (074)",385,44,341
"Superior no univ. incompleta (075)",55,6,49
"Superior no univ. completa (076)",104,13,91
"Superior univ. incompleta (077)",33,8,25
"Superior univ. completa (078)",69,10,59
"De 45 a 64 años (080)",452,25,427
"Sin nivel (081)",15,1,14
"Primaria (083)",164,9,155
"Secundaria (084)",159,5,154
"Superior no univ. incompleta (085)",16,,16
"Superior no univ. completa (086)",41,6,35
"Superior univ. incompleta (087)",13,,13
"Superior univ. completa (088)",44,4,40
"De 65 y más años (090)",77,,77
"Sin nivel (091)",9,,9
"Primaria (093)",52,,52
"Secundaria (094)",5,,5
"Superior no univ. incompleta (095)",1,,1
"Superior no univ. completa (096)",3,,3
"Superior univ. incompleta (097)",2,,2
"Superior univ. completa (098)",5,,5
,,,
"AREA RURAL (100)",293,78,215
"Sin nivel (101)",10,3,7
"Educación inicial (102)",1,1,
"Primaria (103)",90,13,77
"Secundaria (104)",159,44,115
"Superior no univ. incompleta (105)",6,2,4
"Superior no univ. completa (106)",19,12,7
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",7,2,5
"De 14 a 29 años (110)",166,67,99
"Sin nivel (111)",3,2,1
"Educación inicial (112)",1,1,
"Primaria (113)",32,11,21
"Secundaria (114)",103,40,63
"Superior no univ. incompleta (115)",5,2,3
"Superior no univ. completa (116)",16,9,7
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",5,1,4
"De 30 a 44 años (120)",80,11,69
"Sin nivel (121)",3,1,2
"Primaria (123)",24,2,22
"Secundaria (124)",48,4,44
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",3,3,
"Superior univ. completa (128)",1,1,
"De 45 a 64 años (130)",38,,38
"Sin nivel (131)",2,,2
"Primaria (133)",27,,27
"Secundaria (134)",8,,8
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",9,,9
"Sin nivel (141)",2,,2
"Primaria (143)",7,,7
