"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN ROMAN (000)",240776,4074,71790,74137,50383,31129,9263
"Hombres (001)",118151,2074,36453,36248,23666,15368,4342
"Mujeres (002)",122625,2000,35337,37889,26717,15761,4921
"Viviendas particulares (003)",238281,4051,71629,72961,49656,30804,9180
"Hombres (004)",116220,2059,36354,35323,23082,15108,4294
"Mujeres (005)",122061,1992,35275,37638,26574,15696,4886
"Viviendas colectivas (006)",2381,21,158,1132,693,302,75
"Hombres (007)",1850,13,98,890,563,243,43
"Mujeres (008)",531,8,60,242,130,59,32
"Otro tipo (009)",114,2,3,44,34,23,8
"Hombres (010)",81,2,1,35,21,17,5
"Mujeres (011)",33,,2,9,13,6,3
,,,,,,,
"URBANA (012)",220610,3724,65485,69344,47217,27751,7089
"Hombres (013)",108505,1884,33249,33922,22234,13860,3356
"Mujeres (014)",112105,1840,32236,35422,24983,13891,3733
"Viviendas particulares (015)",218183,3701,65333,68217,46500,27426,7006
"Hombres (016)",106601,1869,33151,33018,21655,13600,3308
"Mujeres (017)",111582,1832,32182,35199,24845,13826,3698
"Viviendas colectivas (018)",2313,21,149,1083,683,302,75
"Hombres (019)",1823,13,97,869,558,243,43
"Mujeres (020)",490,8,52,214,125,59,32
"Otro tipo (021)",114,2,3,44,34,23,8
"Hombres (022)",81,2,1,35,21,17,5
"Mujeres (023)",33,,2,9,13,6,3
,,,,,,,
"RURAL (024)",20166,350,6305,4793,3166,3378,2174
"Hombres (025)",9646,190,3204,2326,1432,1508,986
"Mujeres (026)",10520,160,3101,2467,1734,1870,1188
"Viviendas particulares (027)",20098,350,6296,4744,3156,3378,2174
"Hombres (028)",9619,190,3203,2305,1427,1508,986
"Mujeres (029)",10479,160,3093,2439,1729,1870,1188
"Viviendas colectivas (030)",68,,9,49,10,,
"Hombres (031)",27,,1,21,5,,
"Mujeres (032)",41,,8,28,5,,
