"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TARMA (000)",1813,487,1326
"Sin nivel (001)",56,13,43
"Educación inicial (002)",4,1,3
"Primaria (003)",411,77,334
"Secundaria (004)",755,231,524
"Superior no univ. incompleta (005)",129,41,88
"Superior no univ. completa (006)",208,56,152
"Superior univ. incompleta (007)",72,18,54
"Superior univ. completa (008)",178,50,128
"Hombres (010)",1179,287,892
"Sin nivel (011)",32,9,23
"Educación inicial (012)",3,1,2
"Primaria (013)",292,52,240
"Secundaria (014)",521,146,375
"Superior no univ. incompleta (015)",87,28,59
"Superior no univ. completa (016)",111,23,88
"Superior univ. incompleta (017)",47,12,35
"Superior univ. completa (018)",86,16,70
"Mujeres (020)",634,200,434
"Sin nivel (021)",24,4,20
"Educación inicial (022)",1,,1
"Primaria (023)",119,25,94
"Secundaria (024)",234,85,149
"Superior no univ. incompleta (025)",42,13,29
"Superior no univ. completa (026)",97,33,64
"Superior univ. incompleta (027)",25,6,19
"Superior univ. completa (028)",92,34,58
,,,
"AREA URBANA (030)",1465,394,1071
"Sin nivel (031)",40,11,29
"Educación inicial (032)",4,1,3
"Primaria (033)",277,48,229
"Secundaria (034)",599,186,413
"Superior no univ. incompleta (035)",117,37,80
"Superior no univ. completa (036)",189,48,141
"Superior univ. incompleta (037)",69,17,52
"Superior univ. completa (038)",170,46,124
"Hombres (040)",948,225,723
"Sin nivel (041)",23,7,16
"Educación inicial (042)",3,1,2
"Primaria (043)",197,28,169
"Secundaria (044)",415,115,300
"Superior no univ. incompleta (045)",79,27,52
"Superior no univ. completa (046)",103,21,82
"Superior univ. incompleta (047)",45,11,34
"Superior univ. completa (048)",83,15,68
"Mujeres (050)",517,169,348
"Sin nivel (051)",17,4,13
"Educación inicial (052)",1,,1
"Primaria (053)",80,20,60
"Secundaria (054)",184,71,113
"Superior no univ. incompleta (055)",38,10,28
"Superior no univ. completa (056)",86,27,59
"Superior univ. incompleta (057)",24,6,18
"Superior univ. completa (058)",87,31,56
,,,
"AREA RURAL (060)",348,93,255
"Sin nivel (061)",16,2,14
"Primaria (063)",134,29,105
"Secundaria (064)",156,45,111
"Superior no univ. incompleta (065)",12,4,8
"Superior no univ. completa (066)",19,8,11
"Superior univ. incompleta (067)",3,1,2
"Superior univ. completa (068)",8,4,4
"Hombres (070)",231,62,169
"Sin nivel (071)",9,2,7
"Primaria (073)",95,24,71
"Secundaria (074)",106,31,75
"Superior no univ. incompleta (075)",8,1,7
"Superior no univ. completa (076)",8,2,6
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",3,1,2
"Mujeres (080)",117,31,86
"Sin nivel (081)",7,,7
"Primaria (083)",39,5,34
"Secundaria (084)",50,14,36
"Superior no univ. incompleta (085)",4,3,1
"Superior no univ. completa (086)",11,6,5
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",5,3,2
