"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA UNION (000)",4296,53,1786,1364,440,170,57,17,3,,406
"Catolica (001)",3853,48,1614,1214,400,147,54,16,3,,357
"Cristiana / Evangelica (002)",266,3,102,91,21,11,3,1,,,34
"Otra (003)",83,1,26,27,12,8,,,,,9
"Ninguna (004)",94,1,44,32,7,4,,,,,6
,,,,,,,,,,,
"URBANA (006)",2050,22,733,703,266,100,40,10,2,,174
"Catolica (007)",1842,19,662,630,242,87,37,9,2,,154
"Cristiana / Evangelica (008)",111,2,40,39,10,6,3,1,,,10
"Otra (009)",53,,20,14,9,4,,,,,6
"Ninguna (010)",44,1,11,20,5,3,,,,,4
,,,,,,,,,,,
"RURAL (012)",2246,31,1053,661,174,70,17,7,1,,232
"Catolica (013)",2011,29,952,584,158,60,17,7,1,,203
"Cristiana / Evangelica (014)",155,1,62,52,11,5,,,,,24
"Otra (015)",30,1,6,13,3,4,,,,,3
"Ninguna (016)",50,,33,12,2,1,,,,,2
