"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia FERREÑAFE (000)",27955,20993,3026,1948,1988
"Empleado (001)",4407,1324,577,1004,1502
"Obrero (002)",9750,6649,1750,878,473
"Trabajador independiente (003)",9838,9335,503,,
"Empleador o patrono (004)",759,620,98,37,4
"Trabajador familiar no remunerado (005)",2527,2391,98,29,9
"Trabajador del hogar (006)",674,674,,,
"De 06 a 14 años (008)",659,582,49,27,1
"Empleado (009)",21,18,2,1,
"Obrero (010)",138,95,26,17,
"Trabajador independiente (011)",55,52,3,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",424,396,18,9,1
"Trabajador del hogar (014)",20,20,,,
"De 15 a 29 años (016)",8713,6637,1091,574,411
"Empleado (017)",1287,561,198,234,294
"Obrero (018)",3655,2533,687,321,114
"Trabajador independiente (019)",2270,2123,147,,
"Empleador o patrono (020)",123,101,15,7,
"Trabajador familiar no remunerado (021)",1084,1025,44,12,3
"Trabajador del hogar (022)",294,294,,,
"De 30 a 44 años (024)",9771,7034,1059,786,892
"Empleado (025)",1909,484,237,464,724
"Obrero (026)",3183,2146,566,303,168
"Trabajador independiente (027)",3642,3440,202,,
"Empleador o patrono (028)",250,203,34,13,
"Trabajador familiar no remunerado (029)",555,529,20,6,
"Trabajador del hogar (030)",232,232,,,
"De 45 a 64 años (032)",7303,5425,704,521,653
"Empleado (033)",1134,235,129,296,474
"Obrero (034)",2359,1572,405,210,172
"Trabajador independiente (035)",3054,2931,123,,
"Empleador o patrono (036)",286,232,38,13,3
"Trabajador familiar no remunerado (037)",358,343,9,2,4
"Trabajador del hogar (038)",112,112,,,
"De 65 y más años (040)",1509,1315,123,40,31
"Empleado (041)",56,26,11,9,10
"Obrero (042)",415,303,66,27,19
"Trabajador independiente (043)",817,789,28,,
"Empleador o patrono (044)",99,83,11,4,1
"Trabajador familiar no remunerado (045)",106,98,7,,1
"Trabajador del hogar (046)",16,16,,,
,,,,,
"URBANA (048)",16133,10877,1972,1556,1728
"Empleado (049)",3945,1137,480,935,1393
"Obrero (050)",4972,3022,1041,582,327
"Trabajador independiente (051)",5739,5378,361,,
"Empleador o patrono (052)",317,242,46,26,3
"Trabajador familiar no remunerado (053)",597,535,44,13,5
