"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MELGAR (000)",73335,1202,25331,18504,12753,10116,5429
"Casa independiente (001)",57603,895,19688,14697,10106,7880,4337
"Departamento en edificio (002)",7,,1,3,2,1,
"Vivienda en quinta (003)",39,,19,6,9,4,1
"Vivienda en casa de vecindad (004)",2856,53,967,798,579,337,122
"Choza o cabaña (005)",12721,251,4615,2970,2031,1887,967
"Vivienda improvisada (006)",21,1,6,6,7,1,
"Local no destinado para hab.humana (007)",69,2,30,18,13,4,2
"Otro tipo (008)",19,,5,6,6,2,
,,,,,,,
"URBANA (009)",34840,530,11890,9343,6537,4359,2181
"Casa independiente (010)",31858,474,10874,8515,5926,4012,2057
"Departamento en edificio (011)",7,,1,3,2,1,
"Vivienda en quinta (012)",39,,19,6,9,4,1
"Vivienda en casa de vecindad (013)",2856,53,967,798,579,337,122
"Vivienda improvisada (015)",21,1,6,6,7,1,
"Local no destinado para hab.humana (016)",52,2,22,13,11,3,1
"Otro tipo (017)",7,,1,2,3,1,
,,,,,,,
"RURAL (018)",38495,672,13441,9161,6216,5757,3248
"Casa independiente (019)",25745,421,8814,6182,4180,3868,2280
"Choza o cabaña (023)",12721,251,4615,2970,2031,1887,967
"Local no destinado para hab.humana (025)",17,,8,5,2,1,1
"Otro tipo (026)",12,,4,4,3,1,
