"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONTUMAZA (000)",9201,1594,2088,4138,119,1095,167
"Conviviente (001)",3578,437,860,1931,45,259,46
"Separado(a) (002)",341,75,71,145,3,28,19
"Casado(a) (003)",2386,636,422,1146,42,121,19
"Viudo(a) (004)",243,20,43,147,7,22,4
"Divorciado(a) (005)",23,7,8,7,,,1
"Soltero(a) (006)",2630,419,684,762,22,665,78
"Hombres (008)",7212,881,1921,3400,106,902,2
"Conviviente (009)",2968,253,799,1686,39,190,1
"Separado(a) (010)",147,21,40,67,3,16,
"Casado(a) (011)",1869,399,398,959,39,74,
"Viudo(a) (012)",146,8,25,97,5,11,
"Divorciado(a) (013)",13,1,7,5,,,
"Soltero(a) (014)",2069,199,652,586,20,611,1
"Mujeres (016)",1989,713,167,738,13,193,165
"Conviviente (017)",610,184,61,245,6,69,45
"Separado(a) (018)",194,54,31,78,,12,19
"Casado(a) (019)",517,237,24,187,3,47,19
"Viudo(a) (020)",97,12,18,50,2,11,4
"Divorciado(a) (021)",10,6,1,2,,,1
"Soltero(a) (022)",561,220,32,176,2,54,77
,,,,,,,
"URBANA (024)",4461,1432,984,1632,75,211,127
"Conviviente (025)",1527,378,397,633,25,58,36
"Separado(a) (026)",213,64,41,77,3,10,18
"Casado(a) (027)",1432,584,207,546,27,53,15
"Viudo(a) (028)",113,20,22,58,6,5,2
"Divorciado(a) (029)",15,7,5,3,,,
"Soltero(a) (030)",1161,379,312,315,14,85,56
"Hombres (032)",2981,784,868,1135,64,129,1
"Conviviente (033)",1093,218,352,472,20,30,1
"Separado(a) (034)",66,18,19,22,3,4,
"Casado(a) (035)",993,361,191,394,25,22,
"Viudo(a) (036)",52,8,10,28,4,2,
"Divorciado(a) (037)",8,1,5,2,,,
"Soltero(a) (038)",769,178,291,217,12,71,
"Mujeres (040)",1480,648,116,497,11,82,126
"Conviviente (041)",434,160,45,161,5,28,35
"Separado(a) (042)",147,46,22,55,,6,18
"Casado(a) (043)",439,223,16,152,2,31,15
"Viudo(a) (044)",61,12,12,30,2,3,2
"Divorciado(a) (045)",7,6,,1,,,
"Soltero(a) (046)",392,201,21,98,2,14,56
,,,,,,,
"RURAL (048)",4740,162,1104,2506,44,884,40
"Conviviente (049)",2051,59,463,1298,20,201,10
"Separado(a) (050)",128,11,30,68,,18,1
"Casado(a) (051)",954,52,215,600,15,68,4
"Viudo(a) (052)",130,,21,89,1,17,2
"Divorciado(a) (053)",8,,3,4,,,1
"Soltero(a) (054)",1469,40,372,447,8,580,22
"Hombres (056)",4231,97,1053,2265,42,773,1
"Conviviente (057)",1875,35,447,1214,19,160,
"Separado(a) (058)",81,3,21,45,,12,
"Casado(a) (059)",876,38,207,565,14,52,
"Viudo(a) (060)",94,,15,69,1,9,
"Divorciado(a) (061)",5,,2,3,,,
"Soltero(a) (062)",1300,21,361,369,8,540,1
"Mujeres (064)",509,65,51,241,2,111,39
"Conviviente (065)",176,24,16,84,1,41,10
"Separado(a) (066)",47,8,9,23,,6,1
"Casado(a) (067)",78,14,8,35,1,16,4
"Viudo(a) (068)",36,,6,20,,8,2
"Divorciado(a) (069)",3,,1,1,,,1
"Soltero(a) (070)",169,19,11,78,,40,21
