"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUACAYBAMBA (000)",4423,3870,231,141,181
"Empleado (001)",549,169,118,99,163
"Obrero (002)",532,427,46,41,18
"Trabajador independiente (003)",2615,2573,42,,
"Empleador o patrono (004)",22,21,1,,
"Trabajador familiar no remunerado (005)",622,597,24,1,
"Trabajador del hogar (006)",83,83,,,
"De 06 a 14 años (008)",43,42,1,,
"Obrero (010)",7,7,,,
"Trabajador familiar no remunerado (013)",34,33,1,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",1224,1114,50,23,37
"Empleado (017)",89,29,12,16,32
"Obrero (018)",211,182,18,6,5
"Trabajador independiente (019)",543,535,8,,
"Empleador o patrono (020)",2,2,,,
"Trabajador familiar no remunerado (021)",333,320,12,1,
"Trabajador del hogar (022)",46,46,,,
"De 30 a 44 años (024)",1688,1399,112,76,101
"Empleado (025)",317,99,68,57,93
"Obrero (026)",173,126,20,19,8
"Trabajador independiente (027)",998,982,16,,
"Empleador o patrono (028)",9,8,1,,
"Trabajador familiar no remunerado (029)",170,163,7,,
"Trabajador del hogar (030)",21,21,,,
"De 45 a 64 años (032)",1092,953,61,40,38
"Empleado (033)",136,39,37,26,34
"Obrero (034)",105,82,5,14,4
"Trabajador independiente (035)",773,756,17,,
"Empleador o patrono (036)",8,8,,,
"Trabajador familiar no remunerado (037)",63,61,2,,
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",376,362,7,2,5
"Empleado (041)",7,2,1,,4
"Obrero (042)",36,30,3,2,1
"Trabajador independiente (043)",301,300,1,,
"Empleador o patrono (044)",3,3,,,
"Trabajador familiar no remunerado (045)",22,20,2,,
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",1069,746,105,98,120
"Empleado (049)",359,98,73,75,113
"Obrero (050)",121,80,11,23,7
"Trabajador independiente (051)",428,413,15,,
"Empleador o patrono (052)",10,10,,,
"Trabajador familiar no remunerado (053)",109,103,6,,
"Trabajador del hogar (054)",42,42,,,
"De 06 a 14 años (056)",7,7,,,
"Trabajador familiar no remunerado (061)",6,6,,,
"Trabajador del hogar (062)",1,1,,,
"De 15 a 29 años (064)",253,201,15,13,24
"Empleado (065)",57,16,7,13,21
