"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2251,33,817,779,248,82,56,19,3,,214
"Conviviente (001)",949,15,385,324,89,27,18,6,,,85
"Separado(a) (002)",118,3,44,43,14,3,5,1,,,5
"Casado(a) (003)",673,6,225,243,92,30,23,7,2,,45
"Viudo(a) (004)",298,5,116,109,28,9,5,2,1,,23
"Divorciado(a) (005)",18,,6,6,4,,,1,,,1
"Soltero(a) (006)",195,4,41,54,21,13,5,2,,,55
,,,,,,,,,,,
"URBANA (008)",1433,25,506,495,171,52,40,15,2,,127
"Conviviente (009)",514,9,209,170,56,12,11,4,,,43
"Separado(a) (010)",94,2,33,32,14,3,4,1,,,5
"Casado(a) (011)",493,5,164,183,64,23,16,6,1,,31
"Viudo(a) (012)",198,5,72,73,21,4,5,2,1,,15
"Divorciado(a) (013)",6,,2,3,1,,,,,,
"Soltero(a) (014)",128,4,26,34,15,10,4,2,,,33
,,,,,,,,,,,
"RURAL (016)",818,8,311,284,77,30,16,4,1,,87
"Conviviente (017)",435,6,176,154,33,15,7,2,,,42
"Separado(a) (018)",24,1,11,11,,,1,,,,
"Casado(a) (019)",180,1,61,60,28,7,7,1,1,,14
"Viudo(a) (020)",100,,44,36,7,5,,,,,8
"Divorciado(a) (021)",12,,4,3,3,,,1,,,1
"Soltero(a) (022)",67,,15,20,6,3,1,,,,22
