"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TOCACHE (000)",72346,1407,22383,21274,15337,9558,2387
"Hombres (001)",40508,749,11544,12428,8687,5796,1304
"Mujeres (002)",31838,658,10839,8846,6650,3762,1083
"Viviendas particulares (003)",68768,1400,22326,19034,14383,9250,2375
"Hombres (004)",37209,745,11514,10352,7790,5515,1293
"Mujeres (005)",31559,655,10812,8682,6593,3735,1082
"Viviendas colectivas (006)",3422,5,52,2184,897,276,8
"Hombres (007)",3178,2,27,2037,847,257,8
"Mujeres (008)",244,3,25,147,50,19,
"Otro tipo (009)",156,2,5,56,57,32,4
"Hombres (010)",121,2,3,39,50,24,3
"Mujeres (011)",35,,2,17,7,8,1
,,,,,,,
"URBANA (012)",36510,676,10557,11152,7921,5011,1193
"Hombres (013)",19730,347,5348,6316,4229,2888,602
"Mujeres (014)",16780,329,5209,4836,3692,2123,591
"Viviendas particulares (015)",34110,670,10506,9634,7312,4805,1183
"Hombres (016)",17585,343,5322,4953,3668,2706,593
"Mujeres (017)",16525,327,5184,4681,3644,2099,590
"Viviendas colectivas (018)",2250,4,46,1465,554,175,6
"Hombres (019)",2030,2,23,1327,513,159,6
"Mujeres (020)",220,2,23,138,41,16,
"Otro tipo (021)",150,2,5,53,55,31,4
"Hombres (022)",115,2,3,36,48,23,3
"Mujeres (023)",35,,2,17,7,8,1
,,,,,,,
"RURAL (024)",35836,731,11826,10122,7416,4547,1194
"Hombres (025)",20778,402,6196,6112,4458,2908,702
"Mujeres (026)",15058,329,5630,4010,2958,1639,492
"Viviendas particulares (027)",34658,730,11820,9400,7071,4445,1192
"Hombres (028)",19624,402,6192,5399,4122,2809,700
"Mujeres (029)",15034,328,5628,4001,2949,1636,492
"Viviendas colectivas (030)",1172,1,6,719,343,101,2
"Hombres (031)",1148,,4,710,334,98,2
"Mujeres (032)",24,1,2,9,9,3,
"Otro tipo (033)",6,,,3,2,1,
"Hombres (034)",6,,,3,2,1,
