"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TACNA (000)",71553,58985,12568
"Red pública de desague dentro de la vivienda (001)",48990,47739,1251
"Red pública de desague fuera de la vivienda (002)",2260,2028,232
"Pozo séptico (003)",4722,2648,2074
"Pozo ciego o negro / letrina (004)",8456,4278,4178
"Río, acequia o canal (005)",602,191,411
"No tiene (006)",6523,2101,4422
,,,
"URBANA (008)",66179,56465,9714
"Red pública de desague dentro de la vivienda (009)",48799,47558,1241
"Red pública de desague fuera de la vivienda (010)",2241,2012,229
"Pozo séptico (011)",3962,2140,1822
"Pozo ciego o negro / letrina (012)",5780,2808,2972
"Río, acequia o canal (013)",534,159,375
"No tiene (014)",4863,1788,3075
,,,
"RURAL (016)",5374,2520,2854
"Red pública de desague dentro de la vivienda (017)",191,181,10
"Red pública de desague fuera de la vivienda (018)",19,16,3
"Pozo séptico (019)",760,508,252
"Pozo ciego o negro / letrina (020)",2676,1470,1206
"Río, acequia o canal (021)",68,32,36
"No tiene (022)",1660,313,1347
