"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CUTERVO (000)",119120,73456,6940,896,37940
"Hombres (001)",59555,35186,3446,477,20513
"Mujeres (002)",59565,38270,3494,419,17427
"PEA (003)",40412,19267,3180,371,17647
"Hombres (004)",32555,15877,1946,255,14520
"Mujeres (005)",7857,3390,1234,116,3127
"Ocupada (006)",38736,18643,3123,363,16657
"Hombres (007)",31299,15426,1910,248,13755
"Mujeres (008)",7437,3217,1213,115,2902
"Desocupada (009)",1676,624,57,8,990
"Hombres (010)",1256,451,36,7,765
"Mujeres (011)",420,173,21,1,225
"No PEA (012)",78708,54189,3760,525,20293
"Hombres (013)",27000,19309,1500,222,5993
"Mujeres (014)",51708,34880,2260,303,14300
,,,,,
"URBANA (018)",23932,6665,4996,491,11832
"Hombres (019)",11701,3043,2454,272,5960
"Mujeres (020)",12231,3622,2542,219,5872
"PEA (021)",9694,1573,2439,246,5460
"Hombres (022)",6377,1016,1396,164,3817
"Mujeres (023)",3317,557,1043,82,1643
"Ocupada (024)",8968,1440,2393,240,4916
"Hombres (025)",5854,914,1370,158,3425
"Mujeres (026)",3114,526,1023,82,1491
"Desocupada (027)",726,133,46,6,544
"Hombres (028)",523,102,26,6,392
"Mujeres (029)",203,31,20,,152
"No PEA (030)",14238,5092,2557,245,6372
"Hombres (031)",5324,2027,1058,108,2143
"Mujeres (032)",8914,3065,1499,137,4229
,,,,,
"RURAL (036)",95188,66791,1944,405,26108
"Hombres (037)",47854,32143,992,205,14553
"Mujeres (038)",47334,34648,952,200,11555
"PEA (039)",30718,17694,741,125,12187
"Hombres (040)",26178,14861,550,91,10703
"Mujeres (041)",4540,2833,191,34,1484
"Ocupada (042)",29768,17203,730,123,11741
"Hombres (043)",25445,14512,540,90,10330
"Mujeres (044)",4323,2691,190,33,1411
"Desocupada (045)",950,491,11,2,446
"Hombres (046)",733,349,10,1,373
"Mujeres (047)",217,142,1,1,73
"No PEA (048)",64470,49097,1203,280,13921
"Hombres (049)",21676,17282,442,114,3850
"Mujeres (050)",42794,31815,761,166,10071
