"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AZANGARO (000)",128033,22715,3190,53339,38159,3320,3417,1939,1954
"Jefe o Jefa (001)",38281,7696,12,16136,10211,970,1748,456,1052
"Esposa(o)/ compa¤era(o) (002)",20238,5280,23,9441,4391,279,501,112,211
"Hijo(a)/ hijastro(a) (003)",57800,7118,2666,23308,20359,1771,869,1190,519
"Yerno/ nuera (004)",1421,31,1,323,768,72,127,36,63
"Nieto(a) (005)",4045,1009,330,1895,730,41,13,22,5
"Padres/ suegros (006)",893,695,,169,18,2,2,1,6
"Otro(a) pariente (007)",4562,760,149,1795,1430,142,122,97,67
"Trabajador(a) del hogar (008)",77,13,,32,29,2,,1,
"Pensionista (009)",17,1,,2,4,2,4,2,2
"Otro(a) no pariente (010)",699,112,9,238,219,39,31,22,29
"Hombres (012)",61994,7101,1609,25100,21323,2032,2194,1272,1363
"Jefe o Jefa (013)",25605,2578,9,11387,8098,771,1469,374,919
"Esposa(o)/ compa¤era(o) (014)",1053,63,1,393,424,49,64,28,31
"Hijo(a)/ hijastro(a) (015)",29783,3536,1343,11217,11088,1049,486,760,304
"Yerno/ nuera (016)",680,3,,113,392,30,76,23,43
"Nieto(a) (017)",2046,491,183,930,402,21,7,10,2
"Padres/ suegros (018)",239,123,,96,12,2,2,1,3
"Otro(a) pariente (019)",2230,279,69,840,780,87,72,59,44
"Trabajador(a) del hogar (020)",19,1,,9,8,1,,,
"Pensionista (021)",9,,,1,2,2,1,1,2
"Otro(a) no pariente (022)",330,27,4,114,117,20,17,16,15
"Mujeres (024)",66039,15614,1581,28239,16836,1288,1223,667,591
"Jefe o Jefa (025)",12676,5118,3,4749,2113,199,279,82,133
"Esposa(o)/ compa¤era(o) (026)",19185,5217,22,9048,3967,230,437,84,180
"Hijo(a)/ hijastro(a) (027)",28017,3582,1323,12091,9271,722,383,430,215
"Yerno/ nuera (028)",741,28,1,210,376,42,51,13,20
"Nieto(a) (029)",1999,518,147,965,328,20,6,12,3
"Padres/ suegros (030)",654,572,,73,6,,,,3
"Otro(a) pariente (031)",2332,481,80,955,650,55,50,38,23
"Trabajador(a) del hogar (032)",58,12,,23,21,1,,1,
"Pensionista (033)",8,1,,1,2,,3,1,
"Otro(a) no pariente (034)",369,85,5,124,102,19,14,6,14
,,,,,,,,,
"URBANA (036)",34810,4000,903,11666,11522,1722,2376,1228,1393
"Jefe o Jefa (037)",10633,1193,3,3226,3393,561,1217,299,741
"Esposa(o)/ compa¤era(o) (038)",4986,563,4,1913,1630,194,422,90,170
"Hijo(a)/ hijastro(a) (039)",14904,1526,723,5169,5156,761,516,712,341
"Yerno/ nuera (040)",477,8,,64,206,48,84,19,48
"Nieto(a) (041)",1076,260,100,450,220,19,9,15,3
"Padres/ suegros (042)",288,193,,74,11,2,2,1,5
"Otro(a) pariente (043)",1940,205,67,639,713,98,95,68,55
"Trabajador(a) del hogar (044)",47,4,,15,25,2,,1,
"Pensionista (045)",13,,,2,2,2,4,1,2
