"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PIURA (000)",665991,13868,197142,186447,132223,97668,38643
"Hombres (001)",327852,7053,100241,91350,62961,47534,18713
"Mujeres (002)",338139,6815,96901,95097,69262,50134,19930
"Viviendas particulares (003)",661787,13814,196840,184136,131378,97137,38482
"Hombres (004)",324854,7022,100118,89560,62377,47168,18609
"Mujeres (005)",336933,6792,96722,94576,69001,49969,19873
"Viviendas colectivas (006)",4056,52,287,2257,801,503,156
"Hombres (007)",2898,31,113,1761,549,344,100
"Mujeres (008)",1158,21,174,496,252,159,56
"Otro tipo (009)",148,2,15,54,44,28,5
"Hombres (010)",100,,10,29,35,22,4
"Mujeres (011)",48,2,5,25,9,6,1
,,,,,,,
"URBANA (012)",573139,11635,166187,160952,115213,85881,33271
"Hombres (013)",279261,5903,84422,78090,54067,41144,15635
"Mujeres (014)",293878,5732,81765,82862,61146,44737,17636
"Viviendas particulares (015)",569042,11581,165885,158743,114372,85351,33110
"Hombres (016)",276368,5872,84299,76400,53487,40779,15531
"Mujeres (017)",292674,5709,81586,82343,60885,44572,17579
"Viviendas colectivas (018)",3953,52,287,2159,797,502,156
"Hombres (019)",2797,31,113,1665,545,343,100
"Mujeres (020)",1156,21,174,494,252,159,56
"Otro tipo (021)",144,2,15,50,44,28,5
"Hombres (022)",96,,10,25,35,22,4
"Mujeres (023)",48,2,5,25,9,6,1
,,,,,,,
"RURAL (024)",92852,2233,30955,25495,17010,11787,5372
"Hombres (025)",48591,1150,15819,13260,8894,6390,3078
"Mujeres (026)",44261,1083,15136,12235,8116,5397,2294
"Viviendas particulares (027)",92745,2233,30955,25393,17006,11786,5372
"Hombres (028)",48486,1150,15819,13160,8890,6389,3078
"Mujeres (029)",44259,1083,15136,12233,8116,5397,2294
"Viviendas colectivas (030)",103,,,98,4,1,
"Hombres (031)",101,,,96,4,1,
"Mujeres (032)",2,,,2,,,
"Otro tipo (033)",4,,,4,,,
"Hombres (034)",4,,,4,,,
