"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JAUJA (000)",86906,3541,21213,16321,11477,10650,8438,6172,9094
"Quechua (001)",1903,6,60,119,165,214,253,307,779
"Aymara (002)",33,2,4,5,3,3,4,7,5
"Ashaninca (003)",11,1,2,1,4,,1,2,
"Otra lengua nativa (004)",10,2,2,2,,,1,1,2
"Castellano (005)",84776,3528,21122,16171,11287,10410,8153,5837,8268
"Idioma extranjero (006)",3,,,,,2,,,1
"Es sordomudo/a (007)",170,2,23,23,18,21,26,18,39
"Hombres (009)",41659,1806,10784,8173,5322,4756,3845,2818,4155
"Quechua (010)",762,3,27,64,77,91,104,128,268
"Aymara (011)",17,2,2,1,2,2,2,5,1
"Ashaninca (012)",5,1,1,,2,,,1,
"Otra lengua nativa (013)",6,1,2,,,,,1,2
"Castellano (014)",40777,1797,10739,8096,5232,4654,3724,2673,3862
"Idioma extranjero (015)",2,,,,,2,,,
"Es sordomudo/a (016)",90,2,13,12,9,7,15,10,22
"Mujeres (018)",45247,1735,10429,8148,6155,5894,4593,3354,4939
"Quechua (019)",1141,3,33,55,88,123,149,179,511
"Aymara (020)",16,,2,4,1,1,2,2,4
"Ashaninca (021)",6,,1,1,2,,1,1,
"Otra lengua nativa (022)",4,1,,2,,,1,,
"Castellano (023)",43999,1731,10383,8075,6055,5756,4429,3164,4406
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",80,,10,11,9,14,11,8,17
,,,,,,,,,
"URBANA (027)",60531,2323,13933,11569,8256,7566,5975,4361,6548
"Quechua (028)",1477,5,51,101,138,170,204,239,569
"Aymara (029)",19,,2,3,2,1,2,6,3
"Ashaninca (030)",10,1,2,1,4,,,2,
"Otra lengua nativa (031)",6,1,2,1,,,1,1,
"Castellano (032)",58907,2315,13867,11446,8098,7383,5749,4101,5948
"Idioma extranjero (033)",3,,,,,2,,,1
"Es sordomudo/a (034)",109,1,9,17,14,10,19,12,27
"Hombres (036)",28793,1188,7042,5789,3762,3334,2699,1971,3008
"Quechua (037)",591,3,22,56,62,67,87,99,195
"Aymara (038)",9,,,1,2,1,1,4,
"Ashaninca (039)",5,1,1,,2,,,1,
"Otra lengua nativa (040)",3,,2,,,,,1,
"Castellano (041)",28126,1183,7011,5723,3690,3261,2599,1859,2800
"Idioma extranjero (042)",2,,,,,2,,,
"Es sordomudo/a (043)",57,1,6,9,6,3,12,7,13
"Mujeres (045)",31738,1135,6891,5780,4494,4232,3276,2390,3540
"Quechua (046)",886,2,29,45,76,103,117,140,374
"Aymara (047)",10,,2,2,,,1,2,3
"Ashaninca (048)",5,,1,1,2,,,1,
"Otra lengua nativa (049)",3,1,,1,,,1,,
"Castellano (050)",30781,1132,6856,5723,4408,4122,3150,2242,3148
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",52,,3,8,8,7,7,5,14
,,,,,,,,,
"RURAL (054)",26375,1218,7280,4752,3221,3084,2463,1811,2546
"Quechua (055)",426,1,9,18,27,44,49,68,210
"Aymara (056)",14,2,2,2,1,2,2,1,2
"Ashaninca (057)",1,,,,,,1,,
"Otra lengua nativa (058)",4,1,,1,,,,,2
"Castellano (059)",25869,1213,7255,4725,3189,3027,2404,1736,2320
"Es sordomudo/a (061)",61,1,14,6,4,11,7,6,12
"Hombres (063)",12866,618,3742,2384,1560,1422,1146,847,1147
"Quechua (064)",171,,5,8,15,24,17,29,73
"Aymara (065)",8,2,2,,,1,1,1,1
"Otra lengua nativa (067)",3,1,,,,,,,2
"Castellano (068)",12651,614,3728,2373,1542,1393,1125,814,1062
"Es sordomudo/a (070)",33,1,7,3,3,4,3,3,9
"Mujeres (072)",13509,600,3538,2368,1661,1662,1317,964,1399
"Quechua (073)",255,1,4,10,12,20,32,39,137
"Aymara (074)",6,,,2,1,1,1,,1
"Ashaninca (075)",1,,,,,,1,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",13218,599,3527,2352,1647,1634,1279,922,1258
"Es sordomudo/a (079)",28,,7,3,1,7,4,3,3
