"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia ZARUMILLA (000)",18923,15838,3085
"De 3 a 5 años (001)",2758,259,2499
"De 6 a 11 años (002)",4629,4171,458
"De 12 a 16 años (003)",4543,4502,41
"De 17 a 24 años (004)",6993,6906,87
"Hombres (005)",9857,8208,1649
"De 3 a 5 años (006)",1452,134,1318
"De 6 a 11 años (007)",2328,2075,253
"De 12 a 16 años (008)",2299,2271,28
"De 17 a 24 años (009)",3778,3728,50
"Mujeres (010)",9066,7630,1436
"De 3 a 5 años (011)",1306,125,1181
"De 6 a 11 años (012)",2301,2096,205
"De 12 a 16 años (013)",2244,2231,13
"De 17 a 24 años (014)",3215,3178,37
,,,
"URBANA (015)",17235,14471,2764
"De 3 a 5 años (016)",2516,245,2271
"De 6 a 11 años (017)",4203,3816,387
"De 12 a 16 años (018)",4129,4096,33
"De 17 a 24 años (019)",6387,6314,73
"Hombres (020)",8983,7505,1478
"De 3 a 5 años (021)",1332,127,1205
"De 6 a 11 años (022)",2101,1891,210
"De 12 a 16 años (023)",2089,2067,22
"De 17 a 24 años (024)",3461,3420,41
"Mujeres (025)",8252,6966,1286
"De 3 a 5 años (026)",1184,118,1066
"De 6 a 11 años (027)",2102,1925,177
"De 12 a 16 años (028)",2040,2029,11
"De 17 a 24 años (029)",2926,2894,32
,,,
"RURAL (030)",1688,1367,321
"De 3 a 5 años (031)",242,14,228
"De 6 a 11 años (032)",426,355,71
"De 12 a 16 años (033)",414,406,8
"De 17 a 24 años (034)",606,592,14
"Hombres (035)",874,703,171
"De 3 a 5 años (036)",120,7,113
"De 6 a 11 años (037)",227,184,43
"De 12 a 16 años (038)",210,204,6
"De 17 a 24 años (039)",317,308,9
"Mujeres (040)",814,664,150
"De 3 a 5 años (041)",122,7,115
"De 6 a 11 años (042)",199,171,28
"De 12 a 16 años (043)",204,202,2
"De 17 a 24 años (044)",289,284,5
