"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CALCA (000)",938,830,108
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",60,57,3
"Hospital, clinica (004)",58,58,
"Aldea infantil, orfelinato, etc (007)",77,77,
"Otro (008)",202,97,105
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",541,541,
