"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YUNGAY (000)",54181,1035,18281,13941,9611,7358,3955
"Jefe o Jefa (001)",13024,,15,2095,4321,4121,2472
"Esposa(o) / compañera(o) (002)",9283,,12,2231,3510,2669,861
"Hijo(a) / hijastro(a) (003)",25021,705,15236,7741,1153,181,5
"Yerno / nuera (004)",850,,10,575,233,30,2
"Nieto(a) (005)",2854,258,2156,415,22,3,
"Padres / suegros (006)",549,,,,5,105,439
"Otro(a) pariente (007)",2161,66,791,674,289,187,154
"Trabajador(a) del hogar (008)",74,,2,52,12,6,2
"Pensionistas (009)",31,,2,15,9,5,
"Otro(a) no pariente (010)",334,6,57,143,57,51,20
"Hombres (011)",26518,500,9192,6828,4615,3523,1860
"Jefe o Jefa (012)",10226,,7,1797,3634,3174,1614
"Esposa(o) / compañera(o) (013)",362,,3,90,121,97,51
"Hijo(a) / hijastro(a) (014)",12696,342,7702,4058,520,72,2
"Yerno / nuera (015)",358,,4,197,135,20,2
"Nieto(a) (016)",1402,123,1054,211,12,2,
"Padres / suegros (017)",143,,,,1,25,117
"Otro(a) pariente (018)",1130,31,396,387,154,96,66
"Trabajador(a) del hogar (019)",6,,1,2,2,1,
"Pensionistas (020)",20,,,8,7,5,
"Otro(a) no pariente (021)",175,4,25,78,29,31,8
"Mujeres (022)",27663,535,9089,7113,4996,3835,2095
"Jefe o Jefa (023)",2798,,8,298,687,947,858
"Esposa(o) / compañera(o) (024)",8921,,9,2141,3389,2572,810
"Hijo(a) / hijastro(a) (025)",12325,363,7534,3683,633,109,3
"Yerno / nuera (026)",492,,6,378,98,10,
"Nieto(a) (027)",1452,135,1102,204,10,1,
"Padres / suegros (028)",406,,,,4,80,322
"Otro(a) pariente (029)",1031,35,395,287,135,91,88
"Trabajador(a) del hogar (030)",68,,1,50,10,5,2
"Pensionistas (031)",11,,2,7,2,,
"Otro(a) no pariente (032)",159,2,32,65,28,20,12
,,,,,,,
"URBANA (033)",12560,219,3507,3340,2534,1913,1047
"Jefe o Jefa (034)",3127,,8,380,1009,1071,659
"Esposa(o) / compañera(o) (035)",1993,,3,366,796,633,195
"Hijo(a) / hijastro(a) (036)",5093,125,2533,1890,467,76,2
"Yerno / nuera (037)",263,,2,152,93,16,
"Nieto(a) (038)",907,77,683,136,10,1,
"Padres / suegros (039)",173,,,,1,37,135
"Otro(a) pariente (040)",761,15,254,284,114,48,46
"Trabajador(a) del hogar (041)",51,,1,41,5,2,2
"Pensionistas (042)",21,,2,11,4,4,
"Otro(a) no pariente (043)",171,2,21,80,35,25,8
"Hombres (044)",6174,102,1818,1653,1186,917,498
"Jefe o Jefa (045)",2270,,3,284,779,778,426
"Esposa(o) / compañera(o) (046)",138,,1,41,43,41,12
"Hijo(a) / hijastro(a) (047)",2621,55,1334,978,220,34,
"Yerno / nuera (048)",116,,1,53,51,11,
"Nieto(a) (049)",463,37,346,73,6,1,
"Padres / suegros (050)",50,,,,1,11,38
"Otro(a) pariente (051)",408,8,125,171,64,21,19
"Trabajador(a) del hogar (052)",4,,,2,1,1,
"Pensionistas (053)",12,,,5,3,4,
"Otro(a) no pariente (054)",92,2,8,46,18,15,3
"Mujeres (055)",6386,117,1689,1687,1348,996,549
"Jefe o Jefa (056)",857,,5,96,230,293,233
"Esposa(o) / compañera(o) (057)",1855,,2,325,753,592,183
"Hijo(a) / hijastro(a) (058)",2472,70,1199,912,247,42,2
"Yerno / nuera (059)",147,,1,99,42,5,
"Nieto(a) (060)",444,40,337,63,4,,
"Padres / suegros (061)",123,,,,,26,97
"Otro(a) pariente (062)",353,7,129,113,50,27,27
"Trabajador(a) del hogar (063)",47,,1,39,4,1,2
"Pensionistas (064)",9,,2,6,1,,
"Otro(a) no pariente (065)",79,,13,34,17,10,5
,,,,,,,
"RURAL (066)",41621,816,14774,10601,7077,5445,2908
"Jefe o Jefa (067)",9897,,7,1715,3312,3050,1813
"Esposa(o) / compañera(o) (068)",7290,,9,1865,2714,2036,666
"Hijo(a) / hijastro(a) (069)",19928,580,12703,5851,686,105,3
"Yerno / nuera (070)",587,,8,423,140,14,2
"Nieto(a) (071)",1947,181,1473,279,12,2,
"Padres / suegros (072)",376,,,,4,68,304
"Otro(a) pariente (073)",1400,51,537,390,175,139,108
"Trabajador(a) del hogar (074)",23,,1,11,7,4,
"Pensionistas (075)",10,,,4,5,1,
"Otro(a) no pariente (076)",163,4,36,63,22,26,12
"Hombres (077)",20344,398,7374,5175,3429,2606,1362
"Jefe o Jefa (078)",7956,,4,1513,2855,2396,1188
"Esposa(o) / compañera(o) (079)",224,,2,49,78,56,39
"Hijo(a) / hijastro(a) (080)",10075,287,6368,3080,300,38,2
"Yerno / nuera (081)",242,,3,144,84,9,2
"Nieto(a) (082)",939,86,708,138,6,1,
"Padres / suegros (083)",93,,,,,14,79
"Otro(a) pariente (084)",722,23,271,216,90,75,47
"Trabajador(a) del hogar (085)",2,,1,,1,,
"Pensionistas (086)",8,,,3,4,1,
"Otro(a) no pariente (087)",83,2,17,32,11,16,5
"Mujeres (088)",21277,418,7400,5426,3648,2839,1546
"Jefe o Jefa (089)",1941,,3,202,457,654,625
"Esposa(o) / compañera(o) (090)",7066,,7,1816,2636,1980,627
"Hijo(a) / hijastro(a) (091)",9853,293,6335,2771,386,67,1
"Yerno / nuera (092)",345,,5,279,56,5,
"Nieto(a) (093)",1008,95,765,141,6,1,
"Padres / suegros (094)",283,,,,4,54,225
"Otro(a) pariente (095)",678,28,266,174,85,64,61
"Trabajador(a) del hogar (096)",21,,,11,6,4,
"Pensionistas (097)",2,,,1,1,,
"Otro(a) no pariente (098)",80,2,19,31,11,10,7
