"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BOLIVAR (000)",126,7,62,30,22,5
"Sin nivel (001)",15,2,5,5,3,
"Primaria (003)",52,4,21,10,13,4
"Secundaria (004)",39,1,27,7,3,1
"Superior no univ. incompleta (005)",5,,3,2,,
"Superior no univ. completa (006)",12,,5,5,2,
"Superior univ. incompleta (007)",2,,,1,1,
"Superior univ. completa (008)",1,,1,,,
"Hombres (010)",104,5,48,24,22,5
"Sin nivel (011)",12,2,4,3,3,
"Primaria (013)",46,2,17,10,13,4
"Secundaria (014)",33,1,21,7,3,1
"Superior no univ. incompleta (015)",3,,2,1,,
"Superior no univ. completa (016)",7,,3,2,2,
"Superior univ. incompleta (017)",2,,,1,1,
"Superior univ. completa (018)",1,,1,,,
"Mujeres (020)",22,2,14,6,,
"Sin nivel (021)",3,,1,2,,
"Primaria (023)",6,2,4,,,
"Secundaria (024)",6,,6,,,
"Superior no univ. incompleta (025)",2,,1,1,,
"Superior no univ. completa (026)",5,,2,3,,
,,,,,,
"Area Urbana (030)",70,3,36,16,11,4
"Sin nivel (031)",2,,1,,1,
"Primaria (033)",22,2,9,3,5,3
"Secundaria (034)",29,1,19,5,3,1
"Superior no univ. incompleta (035)",4,,2,2,,
"Superior no univ. completa (036)",10,,4,5,1,
"Superior univ. incompleta (037)",2,,,1,1,
"Superior univ. completa (038)",1,,1,,,
"Hombres (040)",55,2,26,12,11,4
"Sin nivel (041)",1,,,,1,
"Primaria (043)",18,1,6,3,5,3
"Secundaria (044)",25,1,15,5,3,1
"Superior no univ. incompleta (045)",2,,1,1,,
"Superior no univ. completa (046)",6,,3,2,1,
"Superior univ. incompleta (047)",2,,,1,1,
"Superior univ. completa (048)",1,,1,,,
"Mujeres (050)",15,1,10,4,,
"Sin nivel (051)",1,,1,,,
"Primaria (053)",4,1,3,,,
"Secundaria (054)",4,,4,,,
"Superior no univ. incompleta (055)",2,,1,1,,
"Superior no univ. completa (056)",4,,1,3,,
,,,,,,
"Area Rural (060)",56,4,26,14,11,1
"Sin nivel (061)",13,2,4,5,2,
"Primaria (063)",30,2,12,7,8,1
"Secundaria (064)",10,,8,2,,
"Superior no univ. incompleta (065)",1,,1,,,
"Superior no univ. completa (066)",2,,1,,1,
"Hombres (070)",49,3,22,12,11,1
"Sin nivel (071)",11,2,4,3,2,
"Primaria (073)",28,1,11,7,8,1
"Secundaria (074)",8,,6,2,,
"Superior no univ. incompleta (075)",1,,1,,,
"Superior no univ. completa (076)",1,,,,1,
"Mujeres (080)",7,1,4,2,,
"Sin nivel (081)",2,,,2,,
"Primaria (083)",2,1,1,,,
"Secundaria (084)",2,,2,,,
"Superior no univ. completa (086)",1,,1,,,
