"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANTA (000)",12743,1291,347,4729,4606,497,368,345,560
"Quechua (001)",512,61,2,199,195,16,6,26,7
"Aymara (002)",5,1,,2,1,,,,1
"Ashaninca (003)",1,,,1,,,,,
"Otra lengua nativa (004)",2,,,1,1,,,,
"Castellano (005)",12218,1227,345,4526,4406,481,362,319,552
"Es sordomudo/a (007)",5,2,,,3,,,,
"Hombres (009)",6694,523,171,2312,2705,285,157,216,325
"Quechua (010)",464,46,2,179,189,14,4,25,5
"Aymara (011)",5,1,,2,1,,,,1
"Castellano (014)",6221,475,169,2131,2512,271,153,191,319
"Es sordomudo/a (016)",4,1,,,3,,,,
"Mujeres (018)",6049,768,176,2417,1901,212,211,129,235
"Quechua (019)",48,15,,20,6,2,2,1,2
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",2,,,1,1,,,,
"Castellano (023)",5997,752,176,2395,1894,210,209,128,233
"Es sordomudo/a (025)",1,1,,,,,,,
,,,,,,,,,
"URBANA (027)",6137,411,149,2402,2203,220,200,202,350
"Quechua (028)",32,2,2,3,17,2,1,1,4
"Aymara (029)",4,,,2,1,,,,1
"Otra lengua nativa (031)",1,,,,1,,,,
"Castellano (032)",6097,408,147,2397,2182,218,199,201,345
"Es sordomudo/a (034)",3,1,,,2,,,,
"Hombres (036)",3155,177,69,1139,1251,125,93,113,188
"Quechua (037)",22,,2,3,14,1,,,2
"Aymara (038)",4,,,2,1,,,,1
"Castellano (041)",3126,176,67,1134,1234,124,93,113,185
"Es sordomudo/a (043)",3,1,,,2,,,,
"Mujeres (045)",2982,234,80,1263,952,95,107,89,162
"Quechua (046)",10,2,,,3,1,1,1,2
"Otra lengua nativa (049)",1,,,,1,,,,
"Castellano (050)",2971,232,80,1263,948,94,106,88,160
,,,,,,,,,
"RURAL (054)",6606,880,198,2327,2403,277,168,143,210
"Quechua (055)",480,59,,196,178,14,5,25,3
"Aymara (056)",1,1,,,,,,,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",6121,819,198,2129,2224,263,163,118,207
"Es sordomudo/a (061)",2,1,,,1,,,,
"Hombres (063)",3539,346,102,1173,1454,160,64,103,137
"Quechua (064)",442,46,,176,175,13,4,25,3
"Aymara (065)",1,1,,,,,,,
"Castellano (068)",3095,299,102,997,1278,147,60,78,134
"Es sordomudo/a (070)",1,,,,1,,,,
"Mujeres (072)",3067,534,96,1154,949,117,104,40,73
"Quechua (073)",38,13,,20,3,1,1,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",3026,520,96,1132,946,116,103,40,73
"Es sordomudo/a (079)",1,1,,,,,,,
