"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BONGARA (000)",27465,6062,2222,884,18359
"Menos de 1 año (001)",495,314,34,8,139
"De 1 a 14 años (002)",8839,4287,684,142,3744
"De 15 a 29 años (003)",7166,848,361,312,5658
"De 30 a 44 años (004)",5521,327,613,225,4377
"De 45 a 64 años (005)",3724,194,375,141,3020
"De 65 y mas años (006)",1720,92,155,56,1421
"Hombres (008)",14148,2867,1145,615,9562
"Menos de 1 año (009)",260,169,17,4,70
"De 1 a 14 años (010)",4486,2136,373,71,1918
"De 15 a 29 años (011)",3809,339,175,237,3068
"De 30 a 44 años (012)",2850,115,312,173,2263
"De 45 a 64 años (013)",1950,73,189,98,1594
"De 65 y mas años (014)",793,35,79,32,649
"Mujeres (016)",13317,3195,1077,269,8797
"Menos de 1 año (017)",235,145,17,4,69
"De 1 a 14 años (018)",4353,2151,311,71,1826
"De 15 a 29 años (019)",3357,509,186,75,2590
"De 30 a 44 años (020)",2671,212,301,52,2114
"De 45 a 64 años (021)",1774,121,186,43,1426
"De 65 y mas años (022)",927,57,76,24,772
,,,,,
"URBANA (024)",16460,3261,1881,742,10634
"Menos de 1 año (025)",272,168,28,7,69
"De 1 a 14 años (026)",4972,2187,577,123,2100
"De 15 a 29 años (027)",4194,539,288,264,3116
"De 30 a 44 años (028)",3521,201,533,186,2621
"De 45 a 64 años (029)",2393,108,329,118,1844
"De 65 y mas años (030)",1108,58,126,44,884
"Hombres (032)",8416,1516,966,513,5458
"Menos de 1 año (033)",146,94,14,4,34
"De 1 a 14 años (034)",2527,1068,317,57,1094
"De 15 a 29 años (035)",2214,222,137,208,1657
"De 30 a 44 años (036)",1780,70,263,140,1319
"De 45 a 64 años (037)",1252,36,168,78,974
"De 65 y mas años (038)",497,26,67,26,380
"Mujeres (040)",8044,1745,915,229,5176
"Menos de 1 año (041)",126,74,14,3,35
"De 1 a 14 años (042)",2445,1119,260,66,1006
"De 15 a 29 años (043)",1980,317,151,56,1459
"De 30 a 44 años (044)",1741,131,270,46,1302
"De 45 a 64 años (045)",1141,72,161,40,870
"De 65 y mas años (046)",611,32,59,18,504
,,,,,
"RURAL (048)",11005,2801,341,142,7725
"Menos de 1 año (049)",223,146,6,1,70
"De 1 a 14 años (050)",3867,2100,107,19,1644
"De 15 a 29 años (051)",2972,309,73,48,2542
"De 30 a 44 años (052)",2000,126,80,39,1756
"De 45 a 64 años (053)",1331,86,46,23,1176
"De 65 y mas años (054)",612,34,29,12,537
"Hombres (056)",5732,1351,179,102,4104
"Menos de 1 año (057)",114,75,3,,36
"De 1 a 14 años (058)",1959,1068,56,14,824
"De 15 a 29 años (059)",1595,117,38,29,1411
"De 30 a 44 años (060)",1070,45,49,33,944
"De 45 a 64 años (061)",698,37,21,20,620
"De 65 y mas años (062)",296,9,12,6,269
"Mujeres (064)",5273,1450,162,40,3621
"Menos de 1 año (065)",109,71,3,1,34
"De 1 a 14 años (066)",1908,1032,51,5,820
"De 15 a 29 años (067)",1377,192,35,19,1131
"De 30 a 44 años (068)",930,81,31,6,812
"De 45 a 64 años (069)",633,49,25,3,556
"De 65 y mas años (070)",316,25,17,6,268
