"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia COTABAMBAS (000)",11224,3452,7772
"Red pública dentro de la vivienda (001)",1377,701,676
"Red pública fuera de la vivienda (002)",903,564,339
"Pilón de uso público (003)",984,301,683
"Camión - cisterna u otro similar (004)",13,1,12
"Pozo (005)",1417,154,1263
"Río, acequia, manatial o similar (006)",6190,1618,4572
"Vecino (007)",248,81,167
"Otro (008)",92,32,60
,,,
"URBANA (010)",2967,1923,1044
"Red pública dentro de la vivienda (011)",781,569,212
"Red pública fuera de la vivienda (012)",789,525,264
"Pilón de uso público (013)",90,40,50
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",60,15,45
"Río, acequia, manatial o similar (016)",1064,691,373
"Vecino (017)",140,57,83
"Otro (018)",42,25,17
,,,
"RURAL (020)",8257,1529,6728
"Red pública dentro de la vivienda (021)",596,132,464
"Red pública fuera de la vivienda (022)",114,39,75
"Pilón de uso público (023)",894,261,633
"Camión - cisterna u otro similar (024)",12,,12
"Pozo (025)",1357,139,1218
"Río, acequia, manatial o similar (026)",5126,927,4199
"Vecino (027)",108,24,84
"Otro (028)",50,7,43
