"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",47803,8651,4792,613,33784
"Menos de 1 año (001)",673,344,60,6,263
"De 1 a 14 años (002)",14266,6212,1397,165,6509
"De 15 a 29 años (003)",13639,1336,882,141,11283
"De 30 a 44 años (004)",8786,385,1048,135,7225
"De 45 a 64 años (005)",6976,242,973,110,5660
"De 65 y mas años (006)",3463,132,432,56,2844
"Hombres (008)",24029,4372,2478,347,16858
"Menos de 1 año (009)",347,174,28,2,143
"De 1 a 14 años (010)",7428,3232,719,80,3407
"De 15 a 29 años (011)",6726,626,434,86,5583
"De 30 a 44 años (012)",4400,163,519,85,3638
"De 45 a 64 años (013)",3427,115,519,63,2737
"De 65 y mas años (014)",1701,62,259,31,1350
"Mujeres (016)",23774,4279,2314,266,16926
"Menos de 1 año (017)",326,170,32,4,120
"De 1 a 14 años (018)",6838,2980,678,85,3102
"De 15 a 29 años (019)",6913,710,448,55,5700
"De 30 a 44 años (020)",4386,222,529,50,3587
"De 45 a 64 años (021)",3549,127,454,47,2923
"De 65 y mas años (022)",1762,70,173,25,1494
,,,,,
"URBANA (024)",27967,4271,3919,469,19327
"Menos de 1 año (025)",357,161,44,6,146
"De 1 a 14 años (026)",7682,2663,1108,104,3815
"De 15 a 29 años (027)",8111,854,750,114,6396
"De 30 a 44 años (028)",5277,293,880,111,3996
"De 45 a 64 años (029)",4306,192,807,86,3226
"De 65 y mas años (030)",2234,108,330,48,1748
"Hombres (032)",13880,2044,2004,266,9581
"Menos de 1 año (033)",172,72,22,2,76
"De 1 a 14 años (034)",3930,1319,565,47,2005
"De 15 a 29 años (035)",4007,389,363,75,3183
"De 30 a 44 años (036)",2620,127,428,69,1998
"De 45 a 64 años (037)",2059,87,428,47,1501
"De 65 y mas años (038)",1092,50,198,26,818
"Mujeres (040)",14087,2227,1915,203,9746
"Menos de 1 año (041)",185,89,22,4,70
"De 1 a 14 años (042)",3752,1344,543,57,1810
"De 15 a 29 años (043)",4104,465,387,39,3213
"De 30 a 44 años (044)",2657,166,452,42,1998
"De 45 a 64 años (045)",2247,105,379,39,1725
"De 65 y mas años (046)",1142,58,132,22,930
,,,,,
"RURAL (048)",19836,4380,873,144,14457
"Menos de 1 año (049)",316,183,16,,117
"De 1 a 14 años (050)",6584,3549,289,61,2694
"De 15 a 29 años (051)",5528,482,132,27,4887
"De 30 a 44 años (052)",3509,92,168,24,3229
"De 45 a 64 años (053)",2670,50,166,24,2434
"De 65 y mas años (054)",1229,24,102,8,1096
"Hombres (056)",10149,2328,474,81,7277
"Menos de 1 año (057)",175,102,6,,67
"De 1 a 14 años (058)",3498,1913,154,33,1402
"De 15 a 29 años (059)",2719,237,71,11,2400
"De 30 a 44 años (060)",1780,36,91,16,1640
"De 45 a 64 años (061)",1368,28,91,16,1236
"De 65 y mas años (062)",609,12,61,5,532
"Mujeres (064)",9687,2052,399,63,7180
"Menos de 1 año (065)",141,81,10,,50
"De 1 a 14 años (066)",3086,1636,135,28,1292
"De 15 a 29 años (067)",2809,245,61,16,2487
"De 30 a 44 años (068)",1729,56,77,8,1589
"De 45 a 64 años (069)",1302,22,75,8,1198
"De 65 y mas años (070)",620,12,41,3,564
