"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CORONGO",,,,,,
"Viviendas particulares (001)",1904,1874,25,5,,
"Ocupantes presentes (002)",8310,8030,223,57,,
"Casa independiente",,,,,,
"Viviendas particulares (004)",1890,1860,25,5,,
"Ocupantes presentes (005)",8237,7957,223,57,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",6,6,,,,
"Ocupantes presentes (014)",26,26,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",6,6,,,,
"Ocupantes presentes (017)",31,31,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",2,2,,,,
"Ocupantes presentes (023)",16,16,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",1015,995,17,3,,
"Ocupantes presentes (029)",4094,3914,146,34,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",1008,988,17,3,,
"Ocupantes presentes (032)",4067,3887,146,34,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",6,6,,,,
"Ocupantes presentes (041)",26,26,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",1,1,,,,
"Ocupantes presentes (050)",1,1,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",889,879,8,2,,
"Ocupantes presentes (056)",4216,4116,77,23,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",882,872,8,2,,
"Ocupantes presentes (059)",4170,4070,77,23,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",6,6,,,,
"Ocupantes presentes (071)",31,31,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",15,15,,,,
"Otro tipo",,,,,,
