"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",3272,594,581,1768,28,263,38
"Agric., ganadería, caza y silvicultura (001)",1697,1,157,1332,11,196,
"Explotación de minas y canteras (003)",1,,1,,,,
"Industrias manufactureras (004)",192,,96,86,4,6,
"Suministro de electricidad, gas y agua (005)",12,1,11,,,,
"Construcción (006)",281,6,224,33,2,16,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",229,10,5,187,7,20,
"Venta, mant.y rep. veh.autom y motoc. (008)",12,,3,8,1,,
"Comercio al por mayor (009)",10,,1,8,1,,
"Comercio al por menor (010)",207,10,1,171,5,20,
"Hoteles y restaurantes (011)",53,3,5,38,1,6,
"Trans., almac. y comunicaciones (012)",58,10,20,24,3,1,
"Intermediación financiera (013)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (014)",18,5,8,5,,,
"Admin.pub. y defensa; p. segur soc.afil (015)",115,90,25,,,,
"Enseñanza (016)",397,386,1,8,,2,
"Servicios sociales y de salud (017)",52,48,2,1,,1,
"Otras activ. serv.comun.soc y personales (018)",64,25,15,22,,2,
"Hogares privados con servicio doméstico (019)",38,,,,,,38
"Actividad economica no especificada (021)",63,7,11,32,,13,
"Hombres (022)",2735,399,547,1546,24,214,5
"Agric., ganadería, caza y silvicultura (023)",1651,1,153,1301,11,185,
"Explotación de minas y canteras (025)",1,,1,,,,
"Industrias manufactureras (026)",156,,86,62,4,4,
"Suministro de electricidad, gas y agua (027)",11,1,10,,,,
"Construcción (028)",279,6,223,32,2,16,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",115,6,4,96,4,5,
"Venta, mant.y rep. veh.autom y motoc. (030)",12,,3,8,1,,
"Comercio al por mayor (031)",4,,,4,,,
"Comercio al por menor (032)",99,6,1,84,3,5,
"Hoteles y restaurantes (033)",6,,1,5,,,
"Trans., almac. y comunicaciones (034)",55,8,20,23,3,1,
"Activid.inmobil., empres. y alquileres (036)",17,5,8,4,,,
"Admin.pub. y defensa; p. segur soc.afil (037)",96,71,25,,,,
"Enseñanza (038)",271,264,1,5,,1,
"Servicios sociales y de salud (039)",21,19,2,,,,
"Otras activ. serv.comun.soc y personales (040)",28,15,6,7,,,
"Hogares privados con servicio doméstico (041)",5,,,,,,5
"Actividad economica no especificada (043)",23,3,7,11,,2,
"Mujeres (044)",537,195,34,222,4,49,33
"Agric., ganadería, caza y silvicultura (045)",46,,4,31,,11,
"Industrias manufactureras (048)",36,,10,24,,2,
"Suministro de electricidad, gas y agua (049)",1,,1,,,,
"Construcción (050)",2,,1,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",114,4,1,91,3,15,
"Comercio al por mayor (053)",6,,1,4,1,,
"Comercio al por menor (054)",108,4,,87,2,15,
"Hoteles y restaurantes (055)",47,3,4,33,1,6,
"Trans., almac. y comunicaciones (056)",3,2,,1,,,
"Intermediación financiera (057)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (058)",1,,,1,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",19,19,,,,,
"Enseñanza (060)",126,122,,3,,1,
"Servicios sociales y de salud (061)",31,29,,1,,1,
"Otras activ. serv.comun.soc y personales (062)",36,10,9,15,,2,
"Hogares privados con servicio doméstico (063)",33,,,,,,33
"Actividad economica no especificada (065)",40,4,4,21,,11,
,,,,,,,
"URBANA (066)",1232,417,243,485,18,47,22
"Agric., ganadería, caza y silvicultura (067)",277,,60,200,2,15,
"Industrias manufactureras (070)",126,,64,56,4,2,
"Suministro de electricidad, gas y agua (071)",2,1,1,,,,
"Construcción (072)",82,5,61,10,2,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",175,8,5,140,6,16,
"Venta, mant.y rep. veh.autom y motoc. (074)",8,,3,5,,,
"Comercio al por mayor (075)",10,,1,8,1,,
"Comercio al por menor (076)",157,8,1,127,5,16,
"Hoteles y restaurantes (077)",37,2,2,31,1,1,
"Trans., almac. y comunicaciones (078)",47,8,18,17,3,1,
"Intermediación financiera (079)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (080)",12,3,6,3,,,
"Admin.pub. y defensa; p. segur soc.afil (081)",82,70,12,,,,
"Enseñanza (082)",267,260,1,5,,1,
"Servicios sociales y de salud (083)",42,39,1,1,,1,
"Otras activ. serv.comun.soc y personales (084)",33,13,7,12,,1,
"Hogares privados con servicio doméstico (085)",22,,,,,,22
"Actividad economica no especificada (087)",26,6,5,10,,5,
"Hombres (088)",892,278,227,347,14,24,2
"Agric., ganadería, caza y silvicultura (089)",261,,58,187,2,14,
"Industrias manufactureras (092)",112,,63,44,4,1,
"Suministro de electricidad, gas y agua (093)",2,1,1,,,,
"Construcción (094)",81,5,60,10,2,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",84,4,4,70,3,3,
"Venta, mant.y rep. veh.autom y motoc. (096)",8,,3,5,,,
"Comercio al por mayor (097)",4,,,4,,,
"Comercio al por menor (098)",72,4,1,61,3,3,
"Hoteles y restaurantes (099)",5,,,5,,,
"Trans., almac. y comunicaciones (100)",44,6,18,16,3,1,
"Activid.inmobil., empres. y alquileres (102)",12,3,6,3,,,
"Admin.pub. y defensa; p. segur soc.afil (103)",67,55,12,,,,
"Enseñanza (104)",182,177,1,4,,,
"Servicios sociales y de salud (105)",15,14,1,,,,
"Otras activ. serv.comun.soc y personales (106)",17,10,1,6,,,
"Hogares privados con servicio doméstico (107)",2,,,,,,2
"Actividad economica no especificada (109)",8,3,2,2,,1,
"Mujeres (110)",340,139,16,138,4,23,20
"Agric., ganadería, caza y silvicultura (111)",16,,2,13,,1,
"Industrias manufactureras (114)",14,,1,12,,1,
"Construcción (116)",1,,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",91,4,1,70,3,13,
"Comercio al por mayor (119)",6,,1,4,1,,
"Comercio al por menor (120)",85,4,,66,2,13,
"Hoteles y restaurantes (121)",32,2,2,26,1,1,
"Trans., almac. y comunicaciones (122)",3,2,,1,,,
"Intermediación financiera (123)",2,2,,,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",15,15,,,,,
"Enseñanza (126)",85,83,,1,,1,
"Servicios sociales y de salud (127)",27,25,,1,,1,
"Otras activ. serv.comun.soc y personales (128)",16,3,6,6,,1,
"Hogares privados con servicio doméstico (129)",20,,,,,,20
"Actividad economica no especificada (131)",18,3,3,8,,4,
,,,,,,,
"RURAL (132)",2040,177,338,1283,10,216,16
"Agric., ganadería, caza y silvicultura (133)",1420,1,97,1132,9,181,
"Explotación de minas y canteras (135)",1,,1,,,,
"Industrias manufactureras (136)",66,,32,30,,4,
"Suministro de electricidad, gas y agua (137)",10,,10,,,,
"Construcción (138)",199,1,163,23,,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",54,2,,47,1,4,
