"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia VILCAS HUAMAN (000)",22188,9695,1443,225,10836
"Sin Nivel (001)",5145,2181,107,23,2835
"Educación Inicial (002)",499,395,26,3,75
"Primaria (003)",10419,5301,426,91,4607
"Secundaria (004)",4941,1718,388,53,2784
"Sup. no Univ. Incompleta (005)",287,37,55,5,191
"Sup. no Univ. Completa (006)",341,24,172,14,132
"Sup. Univ. Incompleta (007)",127,12,25,4,86
"Sup. Univ. Completa (008)",429,27,244,32,126
"Hombres (010)",10776,4563,774,120,5325
"Sin Nivel (011)",1541,824,34,6,677
"Educación Inicial (012)",245,191,12,2,40
"Primaria (013)",5115,2503,176,44,2395
"Secundaria (014)",3062,979,211,38,1835
"Sup. no Univ. Incompleta (015)",187,23,37,3,125
"Sup. no Univ. Completa (016)",221,14,111,6,91
"Sup. Univ. Incompleta (017)",90,8,18,2,62
"Sup. Univ. Completa (018)",315,21,175,19,100
"Mujeres (020)",11412,5132,669,105,5511
"Sin Nivel (021)",3604,1357,73,17,2158
"Educación Inicial (022)",254,204,14,1,35
"Primaria (023)",5304,2798,250,47,2212
"Secundaria (024)",1879,739,177,15,949
"Sup. no Univ. Incompleta (025)",100,14,18,2,66
"Sup. no Univ. Completa (026)",120,10,61,8,41
"Sup. Univ. Incompleta (027)",37,4,7,2,24
"Sup. Univ. Completa (028)",114,6,69,13,26
,,,,,
"URBANA (030)",7100,2106,996,165,3834
"Sin Nivel (031)",1208,394,68,16,731
"Educación Inicial (032)",171,105,18,3,45
"Primaria (033)",2910,1054,259,61,1536
"Secundaria (034)",1952,482,275,45,1150
"Sup. no Univ. Incompleta (035)",203,24,39,3,137
"Sup. no Univ. Completa (036)",227,16,118,10,83
"Sup. Univ. Incompleta (037)",90,11,19,3,57
"Sup. Univ. Completa (038)",339,20,200,24,95
"Hombres (040)",3479,1009,538,84,1848
"Sin Nivel (041)",350,164,26,5,155
"Educación Inicial (042)",82,45,10,2,25
"Primaria (043)",1361,507,106,24,724
"Secundaria (044)",1116,248,148,31,689
"Sup. no Univ. Incompleta (045)",125,14,26,1,84
"Sup. no Univ. Completa (046)",136,8,68,3,57
"Sup. Univ. Incompleta (047)",65,8,13,2,42
"Sup. Univ. Completa (048)",244,15,141,16,72
"Mujeres (050)",3621,1097,458,81,1986
"Sin Nivel (051)",858,230,42,11,576
"Educación Inicial (052)",89,60,8,1,20
"Primaria (053)",1549,547,153,37,812
"Secundaria (054)",836,234,127,14,461
"Sup. no Univ. Incompleta (055)",78,10,13,2,53
"Sup. no Univ. Completa (056)",91,8,50,7,26
"Sup. Univ. Incompleta (057)",25,3,6,1,15
"Sup. Univ. Completa (058)",95,5,59,8,23
,,,,,
"RURAL (060)",15088,7589,447,60,7002
"Sin Nivel (061)",3937,1787,39,7,2104
"Educación Inicial (062)",328,290,8,,30
"Primaria (063)",7509,4247,167,30,3071
"Secundaria (064)",2989,1236,113,8,1634
"Sup. no Univ. Incompleta (065)",84,13,16,2,54
"Sup. no Univ. Completa (066)",114,8,54,4,49
"Sup. Univ. Incompleta (067)",37,1,6,1,29
"Sup. Univ. Completa (068)",90,7,44,8,31
"Hombres (070)",7297,3554,236,36,3477
"Sin Nivel (071)",1191,660,8,1,522
"Educación Inicial (072)",163,146,2,,15
"Primaria (073)",3754,1996,70,20,1671
"Secundaria (074)",1946,731,63,7,1146
"Sup. no Univ. Incompleta (075)",62,9,11,2,41
"Sup. no Univ. Completa (076)",85,6,43,3,34
"Sup. Univ. Incompleta (077)",25,,5,,20
"Sup. Univ. Completa (078)",71,6,34,3,28
"Mujeres (080)",7791,4035,211,24,3525
"Sin Nivel (081)",2746,1127,31,6,1582
"Educación Inicial (082)",165,144,6,,15
"Primaria (083)",3755,2251,97,10,1400
"Secundaria (084)",1043,505,50,1,488
"Sup. no Univ. Incompleta (085)",22,4,5,,13
"Sup. no Univ. Completa (086)",29,2,11,1,15
"Sup. Univ. Incompleta (087)",12,1,1,1,9
"Sup. Univ. Completa (088)",19,1,10,5,3
