"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SUCRE (000)",12595,7200,1771,142,3490
"Menos de 1 año (001)",208,151,26,,31
"De 1 a 14 años (002)",4373,3273,632,25,444
"De 15 a 29 años (003)",2404,1234,264,29,878
"De 30 a 44 años (004)",2228,973,467,37,753
"De 45 a 64 años (005)",1943,868,291,36,751
"De 65 y mas años (006)",1439,701,91,15,633
"Hombres (008)",6216,3443,892,73,1813
"Menos de 1 año (009)",113,77,17,,19
"De 1 a 14 años (010)",2248,1669,322,12,245
"De 15 a 29 años (011)",1191,586,115,11,479
"De 30 a 44 años (012)",1135,438,218,26,455
"De 45 a 64 años (013)",916,379,174,14,351
"De 65 y mas años (014)",613,294,46,10,264
"Mujeres (016)",6379,3757,879,69,1677
"Menos de 1 año (017)",95,74,9,,12
"De 1 a 14 años (018)",2125,1604,310,13,199
"De 15 a 29 años (019)",1213,648,149,18,399
"De 30 a 44 años (020)",1093,535,249,11,298
"De 45 a 64 años (021)",1027,489,117,22,400
"De 65 y mas años (022)",826,407,45,5,369
,,,,,
"URBANA (024)",7694,3925,1452,63,2260
"Menos de 1 año (025)",110,76,20,,14
"De 1 a 14 años (026)",2733,1899,512,4,319
"De 15 a 29 años (027)",1486,685,210,13,578
"De 30 a 44 años (028)",1452,509,409,17,519
"De 45 a 64 años (029)",1106,400,233,20,455
"De 65 y mas años (030)",807,356,68,9,375
"Hombres (032)",3788,1873,731,36,1152
"Menos de 1 año (033)",66,44,13,,9
"De 1 a 14 años (034)",1408,967,264,3,174
"De 15 a 29 años (035)",731,323,93,6,309
"De 30 a 44 años (036)",727,232,190,11,296
"De 45 a 64 años (037)",526,160,136,11,220
"De 65 y mas años (038)",330,147,35,5,144
"Mujeres (040)",3906,2052,721,27,1108
"Menos de 1 año (041)",44,32,7,,5
"De 1 a 14 años (042)",1325,932,248,1,145
"De 15 a 29 años (043)",755,362,117,7,269
"De 30 a 44 años (044)",725,277,219,6,223
"De 45 a 64 años (045)",580,240,97,9,235
"De 65 y mas años (046)",477,209,33,4,231
,,,,,
"RURAL (048)",4901,3275,319,79,1230
"Menos de 1 año (049)",98,75,6,,17
"De 1 a 14 años (050)",1640,1374,120,21,125
"De 15 a 29 años (051)",918,549,54,16,300
"De 30 a 44 años (052)",776,464,58,20,234
"De 45 a 64 años (053)",837,468,58,16,296
"De 65 y mas años (054)",632,345,23,6,258
"Hombres (056)",2428,1570,161,37,661
"Menos de 1 año (057)",47,33,4,,10
"De 1 a 14 años (058)",840,702,58,9,71
"De 15 a 29 años (059)",460,263,22,5,170
"De 30 a 44 años (060)",408,206,28,15,159
"De 45 a 64 años (061)",390,219,38,3,131
"De 65 y mas años (062)",283,147,11,5,120
"Mujeres (064)",2473,1705,158,42,569
"Menos de 1 año (065)",51,42,2,,7
"De 1 a 14 años (066)",800,672,62,12,54
"De 15 a 29 años (067)",458,286,32,11,130
"De 30 a 44 años (068)",368,258,30,5,75
"De 45 a 64 años (069)",447,249,20,13,165
"De 65 y mas años (070)",349,198,12,1,138
