"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4831,46,1462,1712,1225,386
"Agric., ganadería, caza y silvicultura (001)",2655,28,827,787,730,283
"Pesca (002)",2,,1,1,,
"Industrias manufactureras (004)",89,2,19,36,26,6
"Construcción (006)",266,,101,106,48,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",246,4,70,95,61,16
"Venta, mant.y rep. veh.autom.y motoc. (008)",3,,3,,,
"Comercio al por mayor (009)",15,,1,10,3,1
"Comercio al por menor (010)",228,4,66,85,58,15
"Hoteles y restaurantes (011)",66,,12,30,19,5
"Trans., almac. y comunicaciones (012)",52,,18,22,11,1
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",33,,9,15,7,2
"Admin.pub. y defensa; p. segur.soc afil (015)",122,,44,43,31,4
"Enseñanza (016)",478,,63,301,111,3
"Servicios sociales y de salud (017)",56,,19,30,7,
"Otras activ. serv.comun.soc y personales (018)",93,1,31,41,16,4
"Hogares privados con servicio doméstico (019)",68,5,15,19,22,7
"Actividad economica no especificada (021)",253,2,62,86,72,31
"Desocupado (022)",351,4,170,100,64,13
"Hombres (023)",3837,32,1170,1328,987,320
"Agric., ganadería, caza y silvicultura (024)",2400,21,754,703,668,254
"Pesca (025)",2,,1,1,,
"Industrias manufactureras (027)",71,,16,29,20,6
"Construcción (029)",256,,96,102,47,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",114,2,34,36,31,11
"Venta, mant.y rep. veh.autom.y motoc. (031)",3,,3,,,
"Comercio al por mayor (032)",6,,,5,1,
"Comercio al por menor (033)",105,2,31,31,30,11
"Hoteles y restaurantes (034)",6,,2,3,1,
"Trans., almac. y comunicaciones (035)",51,,18,21,11,1
"Intermediación financiera (036)",1,,1,,,
"Activid.inmobil., empres. y alquileres (037)",24,,5,11,6,2
"Admin.pub. y defensa; p. segur.soc afil (038)",97,,33,33,27,4
"Enseñanza (039)",342,,41,215,83,3
"Servicios sociales y de salud (040)",28,,9,15,4,
"Otras activ. serv.comun.soc y personales (041)",60,1,16,30,10,3
"Hogares privados con servicio doméstico (042)",4,2,,,1,1
"Actividad economica no especificada (044)",103,2,22,42,23,14
"Desocupado (045)",278,4,122,87,55,10
"Mujeres (046)",994,14,292,384,238,66
"Agric., ganadería, caza y silvicultura (047)",255,7,73,84,62,29
