"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia UCAYALI (000)",13386,631,7570,2634,609,195,106,38,1,,1602
"Catolica (001)",9125,358,5037,1921,428,150,77,30,1,,1123
"Cristiana / Evangelica (002)",3015,169,1818,519,126,29,21,7,,,326
"Otra (003)",738,61,395,136,40,10,6,1,,,89
"Ninguna (004)",508,43,320,58,15,6,2,,,,64
,,,,,,,,,,,
"URBANA (006)",7543,252,4006,1718,399,134,82,21,1,,930
"Catolica (007)",5562,166,2914,1310,294,104,59,18,1,,696
"Cristiana / Evangelica (008)",1340,48,750,279,71,21,16,3,,,152
"Otra (009)",419,22,216,94,26,7,6,,,,48
"Ninguna (010)",222,16,126,35,8,2,1,,,,34
,,,,,,,,,,,
"RURAL (012)",5843,379,3564,916,210,61,24,17,,,672
"Catolica (013)",3563,192,2123,611,134,46,18,12,,,427
"Cristiana / Evangelica (014)",1675,121,1068,240,55,8,5,4,,,174
"Otra (015)",319,39,179,42,14,3,,1,,,41
"Ninguna (016)",286,27,194,23,7,4,1,,,,30
