"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ICA (000)",317159,5619,82774,89447,64903,50632,23784
"Casa independiente (001)",281423,4871,72713,78679,57614,45778,21768
"Departamento en edificio (002)",4968,61,1142,1444,1144,885,292
"Vivienda en quinta (003)",3538,59,882,1039,764,563,231
"Vivienda en casa de vecindad (004)",2576,59,767,861,485,279,125
"Choza o cabaña (005)",3452,67,866,1070,641,500,308
"Vivienda improvisada (006)",19551,458,5972,5807,3864,2448,1002
"Local no destinado para hab.humana (007)",374,8,88,103,95,59,21
"Otro tipo (008)",1277,36,344,444,296,120,37
,,,,,,,
"URBANA (009)",290530,5093,76046,81950,59654,46437,21350
"Casa independiente (010)",258311,4415,66869,72276,53021,42086,19644
"Departamento en edificio (011)",4968,61,1142,1444,1144,885,292
"Vivienda en quinta (012)",3538,59,882,1039,764,563,231
"Vivienda en casa de vecindad (013)",2576,59,767,861,485,279,125
"Vivienda improvisada (015)",19551,458,5972,5807,3864,2448,1002
"Local no destinado para hab.humana (016)",336,6,79,87,87,57,20
"Otro tipo (017)",1250,35,335,436,289,119,36
,,,,,,,
"RURAL (018)",26629,526,6728,7497,5249,4195,2434
"Casa independiente (019)",23112,456,5844,6403,4593,3692,2124
"Choza o cabaña (023)",3452,67,866,1070,641,500,308
"Local no destinado para hab.humana (025)",38,2,9,16,8,2,1
"Otro tipo (026)",27,1,9,8,7,1,1
