"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAYO (000)",172189,123079,15704,14388,19018
"Sin nivel (001)",5735,5447,211,43,34
"Educación inicial (002)",137,121,9,6,1
"Primaria (003)",29135,26591,1532,552,460
"Secundaria (004)",62707,52129,5041,2823,2714
"Superior no univ. incompleta (005)",11661,8400,1377,931,953
"Superior no univ. completa (006)",18187,10205,2210,2576,3196
"Superior univ. incompleta (007)",12382,7855,1368,1242,1917
"Superior univ. completa (008)",32245,12331,3956,6215,9743
"De 06 a 14 años (010)",2665,2428,178,54,5
"Sin nivel (011)",41,40,,1,
"Educación inicial (012)",37,31,3,3,
"Primaria (013)",1466,1363,83,20,
"Secundaria (014)",1121,994,92,30,5
"De 15 a 29 años (020)",55429,39693,6409,4719,4608
"Sin nivel (021)",339,314,21,3,1
"Educación inicial (022)",47,40,4,2,1
"Primaria (023)",4289,3848,278,105,58
"Secundaria (024)",25806,21025,2620,1293,868
"Superior no univ. incompleta (025)",6249,4517,830,515,387
"Superior no univ. completa (026)",6468,3782,942,860,884
"Superior univ. incompleta (027)",5582,3474,713,655,740
"Superior univ. completa (028)",6649,2693,1001,1286,1669
"De 30 a 44 años (030)",62309,41946,5815,6106,8442
"Sin nivel (031)",1165,1086,57,10,12
"Educación inicial (032)",53,50,2,1,
"Primaria (033)",8410,7549,523,180,158
"Secundaria (034)",21020,17528,1530,928,1034
"Superior no univ. incompleta (035)",3728,2697,389,296,346
"Superior no univ. completa (036)",8179,4557,950,1209,1463
"Superior univ. incompleta (037)",4199,2657,423,401,718
"Superior univ. completa (038)",15555,5822,1941,3081,4711
"De 45 a 64 años (040)",43504,31489,2962,3335,5718
"Sin nivel (041)",2505,2393,79,19,14
"Primaria (043)",11014,10062,528,213,211
"Secundaria (044)",13228,11203,742,527,756
"Superior no univ. incompleta (045)",1558,1079,148,117,214
"Superior no univ. completa (046)",3328,1709,297,490,832
"Superior univ. incompleta (047)",2439,1602,217,178,442
"Superior univ. completa (048)",9432,3441,951,1791,3249
"De 65 y más años (050)",8282,7523,340,174,245
"Sin nivel (051)",1685,1614,54,10,7
"Primaria (053)",3956,3769,120,34,33
"Secundaria (054)",1532,1379,57,45,51
