"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PAUCARTAMBO (000)",42069,25529,1190,417,14998
"Sin Nivel (001)",11205,7045,168,85,3920
"Educación Inicial (002)",1626,1357,38,19,218
"Primaria (003)",21581,14138,410,169,6904
"Secundaria (004)",6554,2892,243,71,3353
"Sup. no Univ. Incompleta (005)",319,39,47,17,216
"Sup. no Univ. Completa (006)",399,24,155,21,200
"Sup. Univ. Incompleta (007)",124,11,24,14,75
"Sup. Univ. Completa (008)",261,23,105,21,112
"Hombres (010)",21163,12377,660,258,7908
"Sin Nivel (011)",3950,2550,75,28,1303
"Educación Inicial (012)",761,635,19,8,102
"Primaria (013)",11619,7369,243,103,3930
"Secundaria (014)",4196,1762,149,56,2233
"Sup. no Univ. Incompleta (015)",196,23,32,16,125
"Sup. no Univ. Completa (016)",208,14,72,18,105
"Sup. Univ. Incompleta (017)",85,7,12,14,52
"Sup. Univ. Completa (018)",148,17,58,15,58
"Mujeres (020)",20906,13152,530,159,7090
"Sin Nivel (021)",7255,4495,93,57,2617
"Educación Inicial (022)",865,722,19,11,116
"Primaria (023)",9962,6769,167,66,2974
"Secundaria (024)",2358,1130,94,15,1120
"Sup. no Univ. Incompleta (025)",123,16,15,1,91
"Sup. no Univ. Completa (026)",191,10,83,3,95
"Sup. Univ. Incompleta (027)",39,4,12,,23
"Sup. Univ. Completa (028)",113,6,47,6,54
,,,,,
"URBANA (030)",7909,2516,792,185,4421
"Sin Nivel (031)",1245,465,77,21,682
"Educación Inicial (032)",299,203,26,7,64
"Primaria (033)",3207,1237,230,38,1703
"Secundaria (034)",2318,569,190,53,1508
"Sup. no Univ. Incompleta (035)",236,16,36,16,168
"Sup. no Univ. Completa (036)",313,10,133,18,153
"Sup. Univ. Incompleta (037)",94,6,22,13,53
"Sup. Univ. Completa (038)",197,10,78,19,90
"Hombres (040)",3928,1172,441,132,2186
"Sin Nivel (041)",428,200,33,7,188
"Educación Inicial (042)",152,110,15,4,24
"Primaria (043)",1531,569,136,25,801
"Secundaria (044)",1347,269,118,40,921
"Sup. no Univ. Incompleta (045)",139,9,23,15,92
"Sup. no Univ. Completa (046)",156,3,61,15,78
"Sup. Univ. Incompleta (047)",62,3,11,13,35
"Sup. Univ. Completa (048)",113,9,44,13,47
"Mujeres (050)",3981,1344,351,53,2235
"Sin Nivel (051)",817,265,44,14,494
"Educación Inicial (052)",147,93,11,3,40
"Primaria (053)",1676,668,94,13,902
"Secundaria (054)",971,300,72,13,587
"Sup. no Univ. Incompleta (055)",97,7,13,1,76
"Sup. no Univ. Completa (056)",157,7,72,3,75
"Sup. Univ. Incompleta (057)",32,3,11,,18
"Sup. Univ. Completa (058)",84,1,34,6,43
,,,,,
"RURAL (060)",34160,23013,398,232,10577
"Sin Nivel (061)",9960,6580,91,64,3238
"Educación Inicial (062)",1327,1154,12,12,154
"Primaria (063)",18374,12901,180,131,5201
"Secundaria (064)",4236,2323,53,18,1845
"Sup. no Univ. Incompleta (065)",83,23,11,1,48
"Sup. no Univ. Completa (066)",86,14,22,3,47
"Sup. Univ. Incompleta (067)",30,5,2,1,22
"Sup. Univ. Completa (068)",64,13,27,2,22
"Hombres (070)",17235,11205,219,126,5722
"Sin Nivel (071)",3522,2350,42,21,1115
"Educación Inicial (072)",609,525,4,4,78
"Primaria (073)",10088,6800,107,78,3129
"Secundaria (074)",2849,1493,31,16,1312
"Sup. no Univ. Incompleta (075)",57,14,9,1,33
"Sup. no Univ. Completa (076)",52,11,11,3,27
"Sup. Univ. Incompleta (077)",23,4,1,1,17
"Sup. Univ. Completa (078)",35,8,14,2,11
"Mujeres (080)",16925,11808,179,106,4855
"Sin Nivel (081)",6438,4230,49,43,2123
"Educación Inicial (082)",718,629,8,8,76
"Primaria (083)",8286,6101,73,53,2072
"Secundaria (084)",1387,830,22,2,533
"Sup. no Univ. Incompleta (085)",26,9,2,,15
"Sup. no Univ. Completa (086)",34,3,11,,20
"Sup. Univ. Incompleta (087)",7,1,1,,5
"Sup. Univ. Completa (088)",29,5,13,,11
