"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",29857,348,12774,9931,2719,818,311,109,12,,2835
"Sin Nivel (001)",11974,177,5334,4042,1009,315,140,59,8,,890
"Educación Inicial (002)",63,,39,15,1,,,,,,8
"Primaria (003)",12758,137,5876,4138,1004,287,92,35,2,,1187
"Secundaria (004)",2926,26,1162,988,260,54,22,5,,,409
"Sup. no Univ. Incompleta (005)",491,3,109,202,62,17,5,1,,,92
"Sup. no Univ. Completa (006)",990,2,144,335,249,82,29,6,1,,142
"Sup. Univ. Incompleta (007)",183,3,47,61,22,12,2,1,,,35
"Sup. Univ. Completa (008)",472,,63,150,112,51,21,2,1,,72
,,,,,,,,,,,
"URBANA (010)",4071,44,1224,1390,621,208,94,20,3,,467
"Sin Nivel (011)",526,9,209,147,61,18,13,3,1,,65
"Educación Inicial (012)",6,,1,3,,,,,,,2
"Primaria (013)",1172,22,461,387,127,37,24,9,,,105
"Secundaria (014)",866,7,286,325,115,22,15,2,,,94
"Sup. no Univ. Incompleta (015)",279,3,69,119,36,14,5,,,,33
"Sup. no Univ. Completa (016)",710,2,108,234,181,65,23,4,1,,92
"Sup. Univ. Incompleta (017)",142,1,35,53,17,9,1,1,,,25
"Sup. Univ. Completa (018)",370,,55,122,84,43,13,1,1,,51
,,,,,,,,,,,
"RURAL (020)",25786,304,11550,8541,2098,610,217,89,9,,2368
"Sin Nivel (021)",11448,168,5125,3895,948,297,127,56,7,,825
"Educación Inicial (022)",57,,38,12,1,,,,,,6
"Primaria (023)",11586,115,5415,3751,877,250,68,26,2,,1082
"Secundaria (024)",2060,19,876,663,145,32,7,3,,,315
"Sup. no Univ. Incompleta (025)",212,,40,83,26,3,,1,,,59
"Sup. no Univ. Completa (026)",280,,36,101,68,17,6,2,,,50
"Sup. Univ. Incompleta (027)",41,2,12,8,5,3,1,,,,10
"Sup. Univ. Completa (028)",102,,8,28,28,8,8,1,,,21
