"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia BELLAVISTA (000)",23296,18466,4830
"De 3 a 5 años (001)",3533,167,3366
"De 6 a 11 años (002)",6907,5785,1122
"De 12 a 16 años (003)",5971,5843,128
"De 17 a 24 años (004)",6885,6671,214
"Hombres (005)",12156,9694,2462
"De 3 a 5 años (006)",1770,85,1685
"De 6 a 11 años (007)",3536,2928,608
"De 12 a 16 años (008)",3214,3141,73
"De 17 a 24 años (009)",3636,3540,96
"Mujeres (010)",11140,8772,2368
"De 3 a 5 años (011)",1763,82,1681
"De 6 a 11 años (012)",3371,2857,514
"De 12 a 16 años (013)",2757,2702,55
"De 17 a 24 años (014)",3249,3131,118
,,,
"URBANA (015)",12400,10251,2149
"De 3 a 5 años (016)",1742,107,1635
"De 6 a 11 años (017)",3507,3106,401
"De 12 a 16 años (018)",3421,3372,49
"De 17 a 24 años (019)",3730,3666,64
"Hombres (020)",6466,5349,1117
"De 3 a 5 años (021)",878,57,821
"De 6 a 11 años (022)",1813,1586,227
"De 12 a 16 años (023)",1842,1810,32
"De 17 a 24 años (024)",1933,1896,37
"Mujeres (025)",5934,4902,1032
"De 3 a 5 años (026)",864,50,814
"De 6 a 11 años (027)",1694,1520,174
"De 12 a 16 años (028)",1579,1562,17
"De 17 a 24 años (029)",1797,1770,27
,,,
"RURAL (030)",10896,8215,2681
"De 3 a 5 años (031)",1791,60,1731
"De 6 a 11 años (032)",3400,2679,721
"De 12 a 16 años (033)",2550,2471,79
"De 17 a 24 años (034)",3155,3005,150
"Hombres (035)",5690,4345,1345
"De 3 a 5 años (036)",892,28,864
"De 6 a 11 años (037)",1723,1342,381
"De 12 a 16 años (038)",1372,1331,41
"De 17 a 24 años (039)",1703,1644,59
"Mujeres (040)",5206,3870,1336
"De 3 a 5 años (041)",899,32,867
"De 6 a 11 años (042)",1677,1337,340
"De 12 a 16 años (043)",1178,1140,38
"De 17 a 24 años (044)",1452,1361,91
