"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",5963,5872,1770,553,560,463,817,700,1009,91
"Católica (001)",4891,4811,1498,462,466,375,648,559,803,80
"Cristiana/Evangélica (002)",1038,1029,262,86,92,85,163,138,203,9
"Otra (003)",16,15,4,3,2,2,2,2,,1
"Ninguna (004)",18,17,6,2,,1,4,1,3,1
,,,,,,,,,,
"URBANA (006)",1605,1576,466,198,209,153,234,154,162,29
"Católica (007)",1380,1356,420,170,184,123,197,132,130,24
"Cristiana/Evangélica (008)",207,203,38,25,25,30,33,22,30,4
"Otra (009)",8,7,4,2,,,1,,,1
"Ninguna (010)",10,10,4,1,,,3,,2,
,,,,,,,,,,
"RURAL (012)",4358,4296,1304,355,351,310,583,546,847,62
"Católica (013)",3511,3455,1078,292,282,252,451,427,673,56
"Cristiana/Evangélica (014)",831,826,224,61,67,55,130,116,173,5
"Otra (015)",8,8,,1,2,2,1,2,,
"Ninguna (016)",8,7,2,1,,1,1,1,1,1
