"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAmás (000)",26661,79317,71322,,1677,89.9,2.1
"De 12 a 14 años (001)",2833,40,39,,13,97.5,32.5
"De 15 a 19 años (002)",3862,1235,1214,337,98.3,27.3,
"De 20 a 24 años (003)",3220,3933,3831,442,97.4,11.2,
"De 25 a 29 años (004)",2818,5839,5641,353,96.6,6,
"De 30 a 34 años (005)",2568,7305,6991,270,95.7,3.7,
"De 35 a 39 años (006)",2386,8960,8442,179,94.2,2,
"De 40 a 44 años (007)",1995,8605,8029,72,93.3,0.8,
"De 45 a 49 años (008)",1599,8102,7292,11,90,0.1,
"De 50 y más años (009)",5380,35298,29843,,84.5,,
"PEA (010)",9030,27509,25036,423,91,1.5,
"De 12 a 14 años (011)",344,10,10,6,100,60,
"De 15 a 19 años (012)",1026,323,315,59,97.5,18.3,
"De 20 a 24 años (013)",1124,1171,1144,102,97.7,8.7,
"De 25 a 29 años (014)",1021,1831,1768,93,96.6,5.1,
"De 30 a 34 años (015)",1011,2606,2468,73,94.7,2.8,
"De 35 a 39 años (016)",1055,3580,3384,60,94.5,1.7,
"De 40 a 44 años (017)",876,3357,3161,25,94.2,0.7,
"De 45 a 49 años (018)",744,3437,3109,5,90.5,0.1,
"De 50 y más años (019)",1829,11194,9677,,86.4,,
"Ocupada (020)",8845,27278,24824,414,91,1.5,
"De 12 a 14 años (021)",323,9,9,5,100,55.6,
"De 15 a 19 años (022)",968,314,306,57,97.5,18.2,
"De 20 a 24 años (023)",1088,1154,1128,102,97.7,8.8,
"De 25 a 29 años (024)",1003,1818,1755,92,96.5,5.1,
"De 30 a 34 años (025)",999,2579,2443,70,94.7,2.7,
"De 35 a 39 años (026)",1044,3551,3358,58,94.6,1.6,
"De 40 a 44 años (027)",869,3338,3142,25,94.1,0.7,
"De 45 a 49 años (028)",739,3419,3092,5,90.4,0.1,
"De 50 y más años (029)",1812,11096,9591,,86.4,,
"Desocupada (030)",185,231,212,9,91.8,3.9,
"De 12 a 14 años (031)",21,1,1,1,100,100,
"De 15 a 19 años (032)",58,9,9,2,100,22.2,
"De 20 a 24 años (033)",36,17,16,,94.1,,
"De 25 a 29 años (034)",18,13,13,1,100,7.7,
"De 30 a 34 años (035)",12,27,25,3,92.6,11.1,
