"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PADRE ABAD (000)",11998,48740,5647,24907,6351,23833
"Casa independiente (001)",8851,37535,5031,22673,3820,14862
"Departamento en edificio (002)",79,275,79,275,,
"Vivienda en quinta (003)",364,1284,364,1284,,
"Vivienda en casa de vecindad (004)",94,370,94,370,,
"Choza o cabaña (005)",2518,8939,,,2518,8939
"Vivienda improvisada (006)",57,223,57,223,,
"Local no dest.para hab. humana (007)",28,88,18,63,10,25
"Otro tipo (008)",7,26,4,19,3,7
