"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUANCABAMBA",,,,,,
"Viviendas particulares (001)",28586,28254,303,28,1,
"Ocupantes presentes (002)",123735,120969,2440,315,11,
"Casa independiente",,,,,,
"Viviendas particulares (004)",28025,27698,298,28,1,
"Ocupantes presentes (005)",121579,118857,2396,315,11,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",32,30,2,,,
"Ocupantes presentes (011)",121,103,18,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",51,49,2,,,
"Ocupantes presentes (014)",194,180,14,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",457,456,1,,,
"Ocupantes presentes (017)",1779,1767,12,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",10,10,,,,
"Ocupantes presentes (020)",32,32,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",9,9,,,,
"Ocupantes presentes (023)",19,19,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",11,11,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",3864,3712,131,20,1,
"Ocupantes presentes (029)",15078,13835,1009,223,11,
"Casa independiente",,,,,,
"Viviendas particulares (031)",3768,3620,127,20,1,
"Ocupantes presentes (032)",14722,13511,977,223,11,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",32,30,2,,,
"Ocupantes presentes (038)",121,103,18,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",51,49,2,,,
"Ocupantes presentes (041)",194,180,14,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",10,10,,,,
"Ocupantes presentes (047)",32,32,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",2,2,,,,
"Ocupantes presentes (050)",4,4,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",5,5,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",24722,24542,172,8,,
"Ocupantes presentes (056)",108657,107134,1431,92,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",24257,24078,171,8,,
"Ocupantes presentes (059)",106857,105346,1419,92,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",457,456,1,,,
"Ocupantes presentes (071)",1779,1767,12,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",7,7,,,,
"Ocupantes presentes (077)",15,15,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",6,6,,,,
