"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PADRE ABAD (000)",44851,5449,1040,21131,14181,1079,763,522,686
"Jefe o Jefa (001)",12269,840,7,5968,4237,363,327,180,347
"Esposa(o)/ compa¤era(o) (002)",7456,858,14,3840,2258,146,154,69,117
"Hijo(a)/ hijastro(a) (003)",16935,2647,808,7912,4931,251,126,168,92
"Yerno/ nuera (004)",522,17,1,142,294,15,24,17,12
"Nieto(a) (005)",1073,352,103,470,132,12,3,1,
"Padres/ suegros (006)",500,179,,253,59,3,2,1,3
"Otro(a) pariente (007)",4453,456,102,1996,1569,159,72,47,52
"Trabajador(a) del hogar (008)",133,8,,52,67,4,1,1,
"Pensionista (009)",99,2,1,18,47,21,4,2,4
"Otro(a) no pariente (010)",1411,90,4,480,587,105,50,36,59
"Hombres (012)",24457,2423,536,11484,8299,614,409,306,386
"Jefe o Jefa (013)",9786,504,5,4860,3505,290,239,136,247
"Esposa(o)/ compa¤era(o) (014)",580,22,,241,264,14,11,14,14
"Hijo(a)/ hijastro(a) (015)",9364,1364,420,4396,2853,137,58,91,45
"Yerno/ nuera (016)",230,4,,60,129,6,14,11,6
"Nieto(a) (017)",558,193,53,239,63,7,2,1,
"Padres/ suegros (018)",233,43,,146,38,2,1,1,2
"Otro(a) pariente (019)",2631,237,55,1161,990,77,49,27,35
"Trabajador(a) del hogar (020)",32,2,,16,12,1,1,,
"Pensionista (021)",66,2,1,14,29,16,2,1,1
"Otro(a) no pariente (022)",977,52,2,351,416,64,32,24,36
"Mujeres (024)",20394,3026,504,9647,5882,465,354,216,300
"Jefe o Jefa (025)",2483,336,2,1108,732,73,88,44,100
"Esposa(o)/ compa¤era(o) (026)",6876,836,14,3599,1994,132,143,55,103
"Hijo(a)/ hijastro(a) (027)",7571,1283,388,3516,2078,114,68,77,47
"Yerno/ nuera (028)",292,13,1,82,165,9,10,6,6
"Nieto(a) (029)",515,159,50,231,69,5,1,,
"Padres/ suegros (030)",267,136,,107,21,1,1,,1
"Otro(a) pariente (031)",1822,219,47,835,579,82,23,20,17
"Trabajador(a) del hogar (032)",101,6,,36,55,3,,1,
"Pensionista (033)",33,,,4,18,5,2,1,3
"Otro(a) no pariente (034)",434,38,2,129,171,41,18,12,23
,,,,,,,,,
"URBANA (036)",23057,2115,586,9328,8562,856,630,407,573
"Jefe o Jefa (037)",5906,259,3,2326,2350,271,269,139,289
"Esposa(o)/ compa¤era(o) (038)",3677,256,9,1624,1393,114,127,58,96
"Hijo(a)/ hijastro(a) (039)",8701,1078,450,3653,3025,191,103,125,76
"Yerno/ nuera (040)",307,9,1,63,178,12,22,14,8
"Nieto(a) (041)",626,197,69,270,77,9,3,1,
"Padres/ suegros (042)",286,89,,148,41,2,2,1,3
"Otro(a) pariente (043)",2470,181,50,935,1014,142,60,39,49
"Trabajador(a) del hogar (044)",86,6,,32,45,1,1,1,
"Pensionista (045)",81,2,,11,42,19,3,2,2
"Otro(a) no pariente (046)",917,38,4,266,397,95,40,27,50
