"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OYON (000)",7550,4625,677,834,1414
"Agric., ganadería, caza y silvicultura (001)",2095,1979,97,10,9
"Pesca (002)",14,11,,2,1
"Explotación de minas y canteras (003)",1735,366,134,318,917
"Industrias manufactureras (004)",262,176,30,27,29
"Suministro de electricidad, gas y agua (005)",10,1,,9,
"Construcción (006)",392,226,86,61,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",711,643,31,23,14
"Venta, mant.y rep. veh.autom y motoc. (008)",83,47,7,15,14
"Comercio al por mayor (009)",24,20,1,3,
"Comercio al por menor (010)",604,576,23,5,
"Hoteles y restaurantes (011)",400,371,21,3,5
"Trans., almac. y comunicaciones (012)",330,238,33,39,20
"Intermediación financiera (013)",3,1,,,2
"Activid.inmobil., empres. y alquileres (014)",153,82,24,18,29
"Admin.pub. y defensa; p. segur soc.afil (015)",164,,,,164
"Enseñanza (016)",415,73,101,177,64
"Servicios sociales y de salud (017)",50,19,4,4,23
"Otras activ. serv.comun.soc y personales (018)",177,133,22,18,4
"Hogares privados con servicio doméstico (019)",78,78,,,
"Actividad economica no especificada (021)",561,228,94,125,114
"Hombres (022)",5609,3095,536,721,1257
"Agric., ganadería, caza y silvicultura (023)",1533,1448,70,8,7
"Pesca (024)",12,10,,1,1
"Explotación de minas y canteras (025)",1675,353,131,309,882
"Industrias manufactureras (026)",220,138,28,25,29
"Suministro de electricidad, gas y agua (027)",10,1,,9,
"Construcción (028)",386,223,86,58,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",365,305,25,21,14
"Venta, mant.y rep. veh.autom y motoc. (030)",79,43,7,15,14
"Comercio al por mayor (031)",18,15,1,2,
"Comercio al por menor (032)",268,247,17,4,
"Hoteles y restaurantes (033)",136,125,9,1,1
"Trans., almac. y comunicaciones (034)",308,219,31,39,19
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",110,54,18,14,24
"Admin.pub. y defensa; p. segur soc.afil (037)",121,,,,121
"Enseñanza (038)",194,21,42,99,32
"Servicios sociales y de salud (039)",17,10,,3,4
"Otras activ. serv.comun.soc y personales (040)",88,50,19,16,3
"Hogares privados con servicio doméstico (041)",7,7,,,
"Actividad economica no especificada (043)",426,131,77,118,100
