"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia UTCUBAMBA (000)",53875,7512,16939,13650,15774
"Asiste actualmente (001)",32414,2788,16089,10520,3017
"No asiste (002)",21461,4724,850,3130,12757
"Hombres (004)",27927,3854,8570,7100,8403
"Asiste actualmente (005)",16677,1413,8125,5476,1663
"No asiste (006)",11250,2441,445,1624,6740
"Mujeres (008)",25948,3658,8369,6550,7371
"Asiste actualmente (009)",15737,1375,7964,5044,1354
"No asiste (010)",10211,2283,405,1506,6017
,,,,,
"URBANA (012)",22334,2905,6413,5809,7207
"Asiste actualmente (013)",14454,1335,6154,5032,1933
"No asiste (014)",7880,1570,259,777,5274
"Hombres (016)",11543,1536,3226,2965,3816
"Asiste actualmente (017)",7326,684,3086,2547,1009
"No asiste (018)",4217,852,140,418,2807
"Mujeres (020)",10791,1369,3187,2844,3391
"Asiste actualmente (021)",7128,651,3068,2485,924
"No asiste (022)",3663,718,119,359,2467
,,,,,
"RURAL (024)",31541,4607,10526,7841,8567
"Asiste actualmente (025)",17960,1453,9935,5488,1084
"No asiste (026)",13581,3154,591,2353,7483
"Hombres (028)",16384,2318,5344,4135,4587
"Asiste actualmente (029)",9351,729,5039,2929,654
"No asiste (030)",7033,1589,305,1206,3933
"Mujeres (032)",15157,2289,5182,3706,3980
"Asiste actualmente (033)",8609,724,4896,2559,430
"No asiste (034)",6548,1565,286,1147,3550
